vector_id,pixel_x,pixel_y,latitude,longitude,magnitude,alpha_deg
0,109,1117,44.744385,11.816203,5.201211,67.86
1,346,1127,44.716986,12.508507,10.228784,49.58
2,583,1137,44.685040,13.200039,8.800416,43.42
3,820,1150,44.648555,13.890682,9.061098,35.03
4,121,948,45.236517,11.851905,1.826402,54.38
5,361,958,45.208842,12.550657,9.143050,54.08
6,600,969,45.176574,13.248614,10.405423,39.28
7,839,981,45.139723,13.945657,4.507745,38.55
8,133,779,45.728973,11.888281,0.944326,154.37
9,375,789,45.701019,12.593601,1.070196,19.47
10,617,800,45.668426,13.298104,4.767343,16.31
11,859,813,45.631204,14.001667,2.825475,59.99
12,146,610,46.221720,11.925350,1.260581,-21.48
13,390,620,46.193484,12.637363,1.822705,-69.19
14,634,631,46.160561,13.348535,1.149741,170.99
15,878,644,46.122963,14.058739,2.554749,3.12
16,159,441,46.714724,11.963132,2.640422,137.48
17,406,451,46.686201,12.681965,0.528607,54.26
18,652,462,46.652946,13.399932,2.424131,-133.60
19,898,475,46.614967,14.116905,0.505229,147.19
20,172,272,47.207951,12.001647,1.649978,166.78
21,421,282,47.179138,12.727432,1.011403,31.06
22,670,293,47.145545,13.452326,2.542785,-15.24
23,918,306,47.107182,14.176196,1.345073,59.06
24,186,102,47.701364,12.040918,1.454498,54.49
25,437,112,47.672259,12.773790,1.785493,77.55
26,688,124,47.638324,13.505744,1.652139,44.76
27,939,137,47.599571,14.236644,1.613148,-31.12
