vector_id,pixel_x,pixel_y,latitude,longitude,magnitude,alpha_deg
0,109,1117,44.744385,11.816203,16.720966,41.26
1,346,1127,44.716986,12.508507,15.541298,35.55
2,583,1137,44.685040,13.200039,15.013358,39.76
3,820,1150,44.648555,13.890682,15.433054,44.60
4,121,948,45.236517,11.851905,19.134745,40.72
5,361,958,45.208842,12.550657,15.488643,40.70
6,600,969,45.176574,13.248614,14.170771,42.56
7,839,981,45.139723,13.945657,14.082189,44.14
8,133,779,45.728973,11.888281,22.167784,42.72
9,375,789,45.701019,12.593601,18.367268,47.52
10,617,800,45.668426,13.298104,15.797523,46.12
11,859,813,45.631204,14.001667,15.242145,44.86
12,146,610,46.221720,11.925350,24.314684,48.01
13,390,620,46.193484,12.637363,21.147318,50.82
14,634,631,46.160561,13.348535,17.809845,45.35
15,878,644,46.122963,14.058739,16.501032,40.58
16,159,441,46.714724,11.963132,25.575178,50.93
17,406,451,46.686201,12.681965,20.609478,48.78
18,652,462,46.652946,13.399932,19.217077,44.25
19,898,475,46.614967,14.116905,16.611555,43.10
20,172,272,47.207951,12.001647,22.461134,42.98
21,421,282,47.179138,12.727432,13.778732,15.90
22,670,293,47.145545,13.452326,13.243589,25.95
23,918,306,47.107182,14.176196,13.672047,31.12
24,186,102,47.701364,12.040918,22.347769,55.02
25,437,112,47.672259,12.773790,20.275213,47.94
26,688,124,47.638324,13.505744,17.385887,42.27
27,939,137,47.599571,14.236644,15.094989,42.26
