vector_id,pixel_x,pixel_y,latitude,longitude,magnitude,alpha_deg
0,109,1117,44.744385,11.816203,55.412846,18.15
1,346,1127,44.716986,12.508507,53.595142,16.43
2,583,1137,44.685040,13.200039,52.137699,14.28
3,820,1150,44.648555,13.890682,52.686546,11.20
4,121,948,45.236517,11.851905,54.401089,18.41
5,361,958,45.208842,12.550657,53.702976,16.21
6,600,969,45.176574,13.248614,52.808498,14.29
7,839,981,45.139723,13.945657,51.509308,12.34
8,133,779,45.728973,11.888281,54.503059,19.63
9,375,789,45.701019,12.593601,53.664848,17.52
10,617,800,45.668426,13.298104,53.317570,15.48
11,859,813,45.631204,14.001667,52.013474,13.63
12,146,610,46.221720,11.925350,52.918880,21.31
13,390,620,46.193484,12.637363,53.405003,18.74
14,634,631,46.160561,13.348535,52.866352,16.42
15,878,644,46.122963,14.058739,51.034351,14.26
16,159,441,46.714724,11.963132,49.314659,22.96
17,406,451,46.686201,12.681965,50.939167,20.39
18,652,462,46.652946,13.399932,50.721939,17.68
19,898,475,46.614967,14.116905,49.535950,16.70
20,172,272,47.207951,12.001647,44.578430,26.82
21,421,282,47.179138,12.727432,44.220238,24.98
22,670,293,47.145545,13.452326,45.413048,20.91
23,918,306,47.107182,14.176196,46.252136,19.23
24,186,102,47.701364,12.040918,44.753738,30.80
25,437,112,47.672259,12.773790,44.900185,27.17
26,688,124,47.638324,13.505744,43.238491,24.73
27,939,137,47.599571,14.236644,44.623692,19.46
