vector_id,pixel_x,pixel_y,latitude,longitude,magnitude,alpha_deg
0,32,837,44.767229,11.123243,2.701574,175.51
1,211,843,44.744385,11.816203,2.402111,142.90
2,391,850,44.716986,12.508507,4.142145,91.70
3,570,858,44.685040,13.200039,10.782541,103.29
4,748,868,44.648555,13.890682,11.624817,104.67
5,927,878,44.607542,14.580319,12.801013,120.43
6,39,709,45.259591,11.152480,6.837368,-155.22
7,221,715,45.236517,11.851905,3.868564,-109.92
8,402,722,45.208842,12.550657,3.963078,98.20
9,582,731,45.176574,13.248614,10.351368,96.45
10,763,740,45.139723,13.945657,5.939217,109.31
11,943,751,45.098298,14.641667,5.993639,100.03
12,47,582,45.752281,11.182268,1.171864,-172.95
13,230,588,45.728973,11.888281,3.429419,-147.63
14,413,595,45.701019,12.593601,2.903700,-129.44
15,595,603,45.668426,13.298104,2.877078,77.09
16,777,613,45.631204,14.001667,3.204048,76.91
17,959,624,45.589362,14.704167,4.023694,91.58
18,55,454,46.245263,11.212625,3.598573,78.56
19,240,460,46.221720,11.925350,2.106163,68.80
20,424,468,46.193484,12.637363,0.860984,-132.09
21,608,476,46.160561,13.348535,0.727035,106.54
22,792,486,46.122963,14.058739,1.245558,-112.15
23,976,497,46.080699,14.767850,0.607553,-60.84
24,63,326,46.738506,11.243565,5.058763,82.15
25,249,333,46.714724,11.963132,3.690512,116.61
26,436,340,46.686201,12.681965,3.573566,95.63
27,621,349,46.652946,13.399932,1.992965,89.41
28,807,358,46.614967,14.116905,0.608336,-121.12
29,992,369,46.572277,14.832752,0.864996,-166.40
30,71,199,47.231974,11.275108,3.047024,151.19
31,259,205,47.207951,12.001647,5.325099,68.71
32,447,212,47.179138,12.727432,9.064137,85.71
33,635,221,47.145545,13.452326,4.917528,101.26
34,822,231,47.107182,14.176196,1.023243,161.72
35,1010,242,47.064059,14.898907,4.149830,61.48
36,80,71,47.725632,11.307269,0.855035,81.39
37,270,77,47.701364,12.040918,0.915952,-32.38
38,459,85,47.672259,12.773790,2.028255,68.30
39,649,93,47.638324,13.505744,3.256808,84.16
40,838,103,47.599571,14.236644,2.073700,68.79
41,1027,115,47.556010,14.966352,3.428070,133.47
