vector_id,pixel_x,pixel_y,latitude,longitude,magnitude,alpha_deg
0,32,837,44.767229,11.123243,8.400760,47.81
1,211,843,44.744385,11.816203,8.372347,47.14
2,391,850,44.716986,12.508507,8.648739,42.13
3,570,858,44.685040,13.200039,8.353971,30.83
4,748,868,44.648555,13.890682,8.089108,19.48
5,927,878,44.607542,14.580319,7.772439,9.52
6,39,709,45.259591,11.152480,8.409471,29.49
7,221,715,45.236517,11.851905,11.836486,38.81
8,402,722,45.208842,12.550657,11.172355,33.12
9,582,731,45.176574,13.248614,10.125383,27.13
10,763,740,45.139723,13.945657,9.211889,9.80
11,943,751,45.098298,14.641667,7.527937,16.29
12,47,582,45.752281,11.182268,10.839230,25.34
13,230,588,45.728973,11.888281,11.133796,29.78
14,413,595,45.701019,12.593601,11.988305,25.04
15,595,603,45.668426,13.298104,11.958081,16.80
16,777,613,45.631204,14.001667,9.708799,12.89
17,959,624,45.589362,14.704167,7.479100,18.49
18,55,454,46.245263,11.212625,9.910400,24.42
19,240,460,46.221720,11.925350,11.085616,29.34
20,424,468,46.193484,12.637363,11.316948,23.78
21,608,476,46.160561,13.348535,10.888437,18.87
22,792,486,46.122963,14.058739,10.337135,18.84
23,976,497,46.080699,14.767850,8.677629,26.80
24,63,326,46.738506,11.243565,8.580504,40.13
25,249,333,46.714724,11.963132,7.672831,45.53
26,436,340,46.686201,12.681965,11.892388,28.65
27,621,349,46.652946,13.399932,11.382173,24.84
28,807,358,46.614967,14.116905,10.162017,29.88
29,992,369,46.572277,14.832752,9.739637,36.00
30,71,199,47.231974,11.275108,9.752282,36.11
31,259,205,47.207951,12.001647,9.044032,23.74
32,447,212,47.179138,12.727432,8.059079,-5.22
33,635,221,47.145545,13.452326,7.560919,25.46
34,822,231,47.107182,14.176196,10.120028,37.41
35,1010,242,47.064059,14.898907,10.158903,52.19
36,80,71,47.725632,11.307269,13.092611,32.01
37,270,77,47.701364,12.040918,9.895882,28.89
38,459,85,47.672259,12.773790,8.554388,27.14
39,649,93,47.638324,13.505744,6.990579,31.70
40,838,103,47.599571,14.236644,7.787035,38.18
41,1027,115,47.556010,14.966352,10.377731,60.17
