vector_id,pixel_x,pixel_y,latitude,longitude,magnitude,alpha_deg
0,0,992,36.504607,6.500736,3.445307,27.68
1,52,991,36.512337,7.100364,4.644440,48.37
2,104,991,36.516202,7.700108,3.214521,58.25
3,155,991,36.516202,8.299891,2.597753,38.04
4,207,991,36.512337,8.899635,0.587955,17.20
5,259,992,36.504607,9.499263,3.195271,86.28
6,51,949,36.994759,7.093092,9.329132,51.54
7,103,949,36.998662,7.697684,6.475306,52.25
8,156,949,36.998662,8.302315,6.046919,85.76
9,208,949,36.994759,8.906907,3.395008,114.20
10,260,950,36.986953,9.511380,2.837342,76.00
11,312,951,36.975246,10.115655,5.499394,73.45
12,364,952,36.959642,10.719655,7.659565,74.07
13,416,954,36.940143,11.323300,7.294904,54.92
14,468,956,36.916755,11.926512,10.675155,66.54
15,520,958,36.889483,12.529213,11.513476,69.07
16,572,961,36.858333,13.131326,9.953527,74.49
17,624,964,36.823313,13.732773,6.840272,70.68
18,676,967,36.784431,14.333479,5.255557,45.75
19,728,971,36.741697,14.933367,4.655586,5.01
20,780,975,36.695120,15.532361,6.281086,27.44
21,831,980,36.644711,16.130388,7.021023,34.10
22,883,984,36.590482,16.727372,7.316481,51.01
23,934,989,36.532447,17.323242,7.351876,61.41
24,51,908,37.478018,7.085702,7.151441,78.66
25,103,907,37.481960,7.695220,6.086296,76.54
26,156,907,37.481960,8.304779,7.257010,72.50
27,208,908,37.478018,8.914297,7.243281,70.56
28,261,908,37.470135,9.523694,7.824900,82.61
29,314,909,37.458313,10.132888,8.002967,65.36
30,366,911,37.442554,10.741800,8.912749,63.02
31,419,912,37.422863,11.350348,9.275931,60.00
32,471,914,37.399244,11.958453,10.239672,72.26
33,524,917,37.371703,12.566034,11.244419,81.41
34,576,919,37.340247,13.173013,7.161320,104.58
35,628,923,37.304882,13.779310,1.582202,153.34
36,681,926,37.265618,14.384847,0.859692,-64.71
37,733,930,37.222464,14.989545,1.210611,10.70
38,785,934,37.175430,15.593329,5.538407,42.40
39,837,938,37.124526,16.196122,7.852821,40.99
40,889,943,37.069766,16.797847,8.212287,63.92
41,941,948,37.011162,17.398431,10.101350,78.12
42,992,953,36.948729,17.997799,9.288172,90.84
43,50,866,37.962086,7.078190,11.287426,35.26
44,103,865,37.966067,7.692716,10.099593,37.02
45,156,865,37.966067,8.307283,9.393387,35.57
46,209,866,37.962087,8.921809,9.604928,42.80
47,262,866,37.954126,9.536210,8.655413,45.30
48,315,868,37.942187,10.150404,9.798739,56.54
49,368,869,37.926273,10.764308,10.294616,59.53
50,421,871,37.906387,11.377840,10.817387,62.11
51,474,873,37.882536,11.990917,12.379562,77.58
52,527,875,37.854723,12.603458,5.547295,108.46
53,580,878,37.822957,13.215381,5.330148,94.65
54,632,881,37.787244,13.826606,4.673894,101.25
55,685,884,37.747593,14.437052,0.090489,172.51
56,738,888,37.704015,15.046639,4.098162,-18.09
57,790,892,37.656518,15.655289,9.743052,60.97
58,843,897,37.605115,16.262924,7.533396,46.61
59,895,901,37.549818,16.869465,9.668967,64.00
60,947,906,37.490640,17.474836,11.011949,88.27
61,999,912,37.427595,18.078962,10.263439,91.71
62,49,824,38.446939,7.070554,13.975081,32.15
63,103,824,38.450959,7.690170,12.929443,32.57
64,156,824,38.450959,8.309829,10.591558,35.71
65,210,824,38.446939,8.929445,11.025736,39.49
66,263,825,38.438899,9.548934,11.772943,35.52
67,317,826,38.426842,10.168210,11.218045,42.77
68,370,827,38.410771,10.787189,11.949481,50.32
69,423,829,38.390689,11.405787,12.979641,58.25
70,477,831,38.366602,12.023918,13.002019,66.55
71,530,833,38.338515,12.641500,15.176255,82.69
72,583,836,38.306435,13.258449,12.353714,72.57
73,637,839,38.270370,13.874681,12.930424,72.20
74,690,843,38.230329,14.490116,5.978048,57.64
75,743,846,38.186321,15.104671,1.548294,81.03
76,796,851,38.138358,15.718265,3.605624,126.05
77,848,855,38.086450,16.330818,7.454689,51.31
78,901,860,38.030610,16.942252,10.636142,78.72
79,954,865,37.970852,17.552486,11.563597,90.16
80,1006,871,37.907190,18.161445,11.019146,90.94
81,49,782,38.932547,7.062790,12.104621,36.23
82,102,782,38.936607,7.687582,12.413763,33.83
83,156,782,38.936607,8.312417,11.330583,42.88
84,210,782,38.932547,8.937209,6.897547,35.11
85,264,783,38.924428,9.561870,11.779148,32.59
86,318,784,38.912252,10.186313,12.237242,39.48
87,372,785,38.896022,10.810452,12.871122,46.06
88,426,787,38.875741,11.434199,13.427297,53.22
89,480,789,38.851416,12.057469,13.242971,56.61
90,533,791,38.823051,12.680175,15.255829,70.22
91,587,794,38.790655,13.302232,14.315834,70.27
92,641,797,38.754234,13.923555,10.017163,76.81
93,694,801,38.713798,14.544060,5.918486,68.71
94,748,805,38.669357,15.163663,4.493439,73.60
95,801,809,38.620921,15.782282,7.734303,97.45
96,854,813,38.568503,16.399834,3.532316,70.52
97,908,818,38.512115,17.016237,11.106178,79.38
98,961,824,38.451770,17.631413,11.856821,83.74
99,1014,829,38.387484,18.245281,11.781191,88.21
100,48,740,39.418884,7.054895,11.128377,36.23
101,102,740,39.422985,7.684950,10.258286,40.99
102,157,740,39.422985,8.315049,9.739741,52.34
103,211,740,39.418884,8.945104,2.901561,52.37
104,265,741,39.410685,9.575024,4.506342,34.01
105,320,742,39.398388,10.204721,13.749850,41.98
106,374,743,39.381997,10.834106,13.128038,44.35
107,428,745,39.361516,11.463089,13.079708,49.09
108,483,747,39.336950,12.091583,13.734904,50.86
109,537,750,39.308305,12.719499,14.668964,58.56
110,591,752,39.275588,13.346749,14.437213,70.83
111,645,756,39.238808,13.973247,8.848893,78.15
112,699,759,39.197973,14.598906,8.702854,85.09
113,753,763,39.153093,15.223640,5.345279,88.27
114,807,767,39.104181,15.847365,6.721472,106.77
115,861,772,39.051246,16.469997,1.233722,-171.63
116,914,777,38.994304,17.091452,5.878886,72.81
117,968,782,38.933366,17.711647,11.793791,81.53
118,1021,788,38.868450,18.330503,12.465842,84.26
119,47,698,39.905922,7.046866,10.820401,37.16
120,102,698,39.910063,7.682273,9.555758,41.35
121,157,698,39.910063,8.317726,9.012665,48.58
122,212,698,39.905922,8.953133,2.190167,83.67
123,267,699,39.897641,9.588402,2.330695,45.08
124,321,700,39.885223,10.223442,10.892264,52.84
125,376,701,39.868669,10.858161,12.962619,46.93
126,431,703,39.847985,11.492469,13.167003,50.00
127,486,705,39.823176,12.126275,13.457533,51.16
128,540,708,39.794247,12.759488,13.268896,57.16
129,595,711,39.761207,13.392019,14.239626,71.53
130,649,714,39.724063,14.023777,12.442568,70.59
131,704,717,39.682824,14.654676,10.000074,86.00
132,758,721,39.637502,15.284627,6.161842,93.17
133,812,725,39.588107,15.913542,2.456893,98.52
134,867,730,39.534651,16.541337,1.720396,74.93
135,921,735,39.477148,17.167925,9.935794,86.30
136,975,740,39.415612,17.793222,11.691382,81.85
137,1029,746,39.350057,18.417146,12.496143,81.95
138,46,656,40.393632,7.038700,10.270263,37.23
139,102,656,40.397814,7.679551,9.355547,37.83
140,157,656,40.397814,8.320448,8.064704,58.01
141,212,656,40.393632,8.961299,2.983262,45.18
142,268,657,40.385269,9.602008,1.568603,30.70
143,323,658,40.372727,10.242483,8.902621,58.35
144,378,659,40.356009,10.882628,11.039412,51.17
145,433,661,40.335120,11.522352,12.153706,54.83
146,489,663,40.310065,12.161560,11.661386,55.86
147,544,666,40.280850,12.800160,11.863172,67.59
148,599,669,40.247482,13.438060,13.004293,81.10
149,654,672,40.209970,14.075169,13.129745,79.72
150,709,675,40.168324,14.711395,10.890219,88.37
151,764,679,40.122554,15.346649,1.549878,89.92
152,818,684,40.072671,15.980841,3.626897,53.23
153,873,688,40.018688,16.613884,6.846162,77.27
154,927,693,39.960618,17.245689,10.675876,79.33
155,982,699,39.898477,17.876171,12.512678,83.97
156,46,614,40.881986,7.030393,10.068698,35.02
157,102,613,40.886209,7.676781,8.689999,39.39
158,157,613,40.886209,8.323218,7.241773,54.41
159,213,614,40.881986,8.969606,2.105076,110.27
160,269,615,40.873539,9.615850,1.874261,98.72
161,325,616,40.860873,10.261853,7.656267,60.11
162,380,617,40.843989,10.907518,8.115078,51.42
163,436,619,40.822892,11.552749,9.233237,47.80
164,492,621,40.797588,12.197453,11.134166,66.99
