vector_id,pixel_x,pixel_y,latitude,longitude,magnitude,alpha_deg
0,0,992,36.504607,6.500736,15.947539,-22.88
1,52,991,36.512337,7.100364,17.341602,-8.98
2,104,991,36.516202,7.700108,19.766104,-4.74
3,155,991,36.516202,8.299891,22.458031,-6.61
4,207,991,36.512337,8.899635,19.876583,-1.17
5,259,992,36.504607,9.499263,18.344461,2.46
6,51,949,36.994759,7.093092,20.476173,-9.33
7,103,949,36.998662,7.697684,20.676697,-12.09
8,156,949,36.998662,8.302315,21.279354,-9.22
9,208,949,36.994759,8.906907,23.486687,-9.94
10,260,950,36.986953,9.511380,24.607338,-5.56
11,312,951,36.975246,10.115655,24.937305,-1.29
12,364,952,36.959642,10.719655,24.372396,3.80
13,416,954,36.940143,11.323300,24.898737,-1.43
14,468,956,36.916755,11.926512,21.134733,10.93
15,520,958,36.889483,12.529213,17.148779,27.78
16,572,961,36.858333,13.131326,16.362570,25.14
17,624,964,36.823313,13.732773,15.544904,32.87
18,676,967,36.784431,14.333479,13.462546,31.24
19,728,971,36.741697,14.933367,18.043034,37.68
20,780,975,36.695120,15.532361,19.299170,43.61
21,831,980,36.644711,16.130388,18.133112,40.83
22,883,984,36.590482,16.727372,15.706781,38.40
23,934,989,36.532447,17.323242,14.098614,36.37
24,51,908,37.478018,7.085702,19.109783,-14.66
25,103,907,37.481960,7.695220,20.868431,-16.54
26,156,907,37.481960,8.304779,21.309986,-13.92
27,208,908,37.478018,8.914297,21.660288,-8.36
28,261,908,37.470135,9.523694,23.444721,-9.92
29,314,909,37.458313,10.132888,25.147713,-8.39
30,366,911,37.442554,10.741800,24.872789,-4.01
31,419,912,37.422863,11.350348,24.278816,14.23
32,471,914,37.399244,11.958453,21.793983,18.47
33,524,917,37.371703,12.566034,19.824364,27.51
34,576,919,37.340247,13.173013,17.991552,32.43
35,628,923,37.304882,13.779310,17.642376,34.23
36,681,926,37.265618,14.384847,19.022459,38.08
37,733,930,37.222464,14.989545,16.588377,35.24
38,785,934,37.175430,15.593329,21.196394,44.39
39,837,938,37.124526,16.196122,19.560722,45.84
40,889,943,37.069766,16.797847,16.664898,44.38
41,941,948,37.011162,17.398431,15.018818,41.67
42,992,953,36.948729,17.997799,13.446329,35.26
43,50,866,37.962086,7.078190,21.567801,-17.43
44,103,865,37.966067,7.692716,22.284264,-11.77
45,156,865,37.966067,8.307283,22.329132,-13.96
46,209,866,37.962087,8.921809,22.895329,-16.99
47,262,866,37.954126,9.536210,24.190397,-11.16
48,315,868,37.942187,10.150404,24.822817,-8.58
49,368,869,37.926273,10.764308,24.051878,-5.03
50,421,871,37.906387,11.377840,25.191076,4.38
51,474,873,37.882536,11.990917,27.165237,19.56
52,527,875,37.854723,12.603458,25.769676,22.39
53,580,878,37.822957,13.215381,22.183565,28.40
