vector_id,pixel_x,pixel_y,latitude,longitude,magnitude,alpha_deg
0,0,992,36.504607,6.500736,18.637314,-78.38
1,52,991,36.512337,7.100364,18.103893,-82.55
2,104,991,36.516202,7.700108,19.556734,-85.94
3,155,991,36.516202,8.299891,14.716637,-89.88
4,207,991,36.512337,8.899635,13.884028,-94.97
5,259,992,36.504607,9.499263,11.528587,-90.51
6,51,949,36.994759,7.093092,16.766230,-84.34
7,103,949,36.998662,7.697684,17.946272,-86.12
8,156,949,36.998662,8.302315,15.506161,-87.82
9,208,949,36.994759,8.906907,12.221508,-95.33
10,260,950,36.986953,9.511380,11.607936,-91.43
11,312,951,36.975246,10.115655,9.523693,-92.65
12,364,952,36.959642,10.719655,6.241390,-83.64
13,416,954,36.940143,11.323300,2.721467,-59.40
14,468,956,36.916755,11.926512,2.464083,-55.80
15,520,958,36.889483,12.529213,1.458308,27.01
16,572,961,36.858333,13.131326,3.849036,26.98
17,624,964,36.823313,13.732773,6.812309,37.44
18,676,967,36.784431,14.333479,6.484094,33.47
19,728,971,36.741697,14.933367,5.243049,39.03
20,780,975,36.695120,15.532361,3.697166,4.84
21,831,980,36.644711,16.130388,2.940338,1.03
22,883,984,36.590482,16.727372,2.197923,12.61
23,934,989,36.532447,17.323242,1.012064,23.50
24,51,908,37.478018,7.085702,15.659050,-85.80
25,103,907,37.481960,7.695220,16.057045,-85.78
26,156,907,37.481960,8.304779,14.169048,-87.20
27,208,908,37.478018,8.914297,10.705013,-90.82
28,261,908,37.470135,9.523694,10.991516,-96.64
29,314,909,37.458313,10.132888,9.171145,-99.67
30,366,911,37.442554,10.741800,8.737803,-102.31
31,419,912,37.422863,11.350348,2.620522,-87.47
32,471,914,37.399244,11.958453,1.540332,-52.95
33,524,917,37.371703,12.566034,0.562916,69.02
34,576,919,37.340247,13.173013,1.080135,46.57
35,628,923,37.304882,13.779310,3.429237,93.16
36,681,926,37.265618,14.384847,4.316031,72.94
37,733,930,37.222464,14.989545,2.978741,38.46
38,785,934,37.175430,15.593329,3.765994,10.61
39,837,938,37.124526,16.196122,2.760085,11.62
40,889,943,37.069766,16.797847,1.862023,38.78
41,941,948,37.011162,17.398431,0.219927,90.40
42,992,953,36.948729,17.997799,5.009473,11.85
43,50,866,37.962086,7.078190,14.217334,-85.17
44,103,865,37.966067,7.692716,14.114411,-84.30
45,156,865,37.966067,8.307283,12.977722,-84.40
46,209,866,37.962087,8.921809,9.957900,-88.84
47,262,866,37.954126,9.536210,8.736512,-95.90
48,315,868,37.942187,10.150404,9.100977,-101.48
49,368,869,37.926273,10.764308,7.894194,-103.27
50,421,871,37.906387,11.377840,5.596923,-109.61
51,474,873,37.882536,11.990917,2.847518,-109.84
52,527,875,37.854723,12.603458,1.196523,-151.38
53,580,878,37.822957,13.215381,2.527417,93.14
54,632,881,37.787244,13.826606,2.897082,94.05
55,685,884,37.747593,14.437052,2.947043,66.73
56,738,888,37.704015,15.046639,3.647427,32.49
57,790,892,37.656518,15.655289,3.908494,20.19
58,843,897,37.605115,16.262924,3.825722,22.61
59,895,901,37.549818,16.869465,2.655401,42.45
60,947,906,37.490640,17.474836,1.006680,64.21
61,999,912,37.427595,18.078962,4.110223,36.29
62,49,824,38.446939,7.070554,13.408660,-83.71
63,103,824,38.450959,7.690170,12.144313,-82.17
64,156,824,38.450959,8.309829,11.929706,-81.13
65,210,824,38.446939,8.929445,10.075061,-85.77
66,263,825,38.438899,9.548934,6.275228,-83.37
67,317,826,38.426842,10.168210,5.961308,-98.34
68,370,827,38.410771,10.787189,7.357157,-110.88
69,423,829,38.390689,11.405787,5.502315,-118.28
70,477,831,38.366602,12.023918,3.827297,-106.45
71,530,833,38.338515,12.641500,1.783468,-108.90
72,583,836,38.306435,13.258449,0.979510,63.44
73,637,839,38.270370,13.874681,2.794753,14.68
74,690,843,38.230329,14.490116,3.108943,49.29
75,743,846,38.186321,15.104671,4.261965,29.71
76,796,851,38.138358,15.718265,4.890913,21.10
77,848,855,38.086450,16.330818,3.942307,32.40
78,901,860,38.030610,16.942252,2.230493,38.70
79,954,865,37.970852,17.552486,2.842245,34.85
80,1006,871,37.907190,18.161445,1.443586,49.99
81,49,782,38.932547,7.062790,13.577062,-81.27
82,102,782,38.936607,7.687582,10.702541,-78.99
83,156,782,38.936607,8.312417,10.370824,-75.66
84,210,782,38.932547,8.937209,9.478849,-76.29
85,264,783,38.924428,9.561870,7.453980,-83.63
86,318,784,38.912252,10.186313,4.708260,-89.21
