vector_id,pixel_x,pixel_y,latitude,longitude,magnitude,alpha_deg
0,0,992,36.504607,6.500736,0.453413,74.91
1,52,991,36.512337,7.100364,0.979942,36.67
2,104,991,36.516202,7.700108,0.989853,100.30
3,155,991,36.516202,8.299891,1.649660,8.69
4,207,991,36.512337,8.899635,2.120390,115.83
5,259,992,36.504607,9.499263,0.817068,45.75
6,51,949,36.994759,7.093092,6.943902,-9.51
7,103,949,36.998662,7.697684,4.549527,-7.59
8,156,949,36.998662,8.302315,3.915137,42.46
9,208,949,36.994759,8.906907,2.421808,75.91
10,260,950,36.986953,9.511380,2.257978,43.76
11,312,951,36.975246,10.115655,4.206136,31.23
12,364,952,36.959642,10.719655,6.414085,88.68
13,416,954,36.940143,11.323300,6.723608,94.11
14,468,956,36.916755,11.926512,4.636664,80.61
15,520,958,36.889483,12.529213,3.463904,55.45
16,572,961,36.858333,13.131326,2.598180,57.52
17,624,964,36.823313,13.732773,2.879028,0.78
18,676,967,36.784431,14.333479,1.156703,-20.86
19,728,971,36.741697,14.933367,1.819496,59.13
20,780,975,36.695120,15.532361,4.858722,90.23
21,831,980,36.644711,16.130388,5.540576,96.11
22,883,984,36.590482,16.727372,5.168915,100.74
23,934,989,36.532447,17.323242,5.190967,102.46
24,51,908,37.478018,7.085702,11.309475,-0.17
25,103,907,37.481960,7.695220,10.820248,5.61
26,156,907,37.481960,8.304779,9.383494,16.23
27,208,908,37.478018,8.914297,8.599733,22.60
28,261,908,37.470135,9.523694,8.008521,28.40
29,314,909,37.458313,10.132888,5.531086,36.42
30,366,911,37.442554,10.741800,5.919230,90.00
31,419,912,37.422863,11.350348,8.648098,95.61
32,471,914,37.399244,11.958453,5.366287,85.80
33,524,917,37.371703,12.566034,3.657566,69.73
34,576,919,37.340247,13.173013,2.172055,57.14
35,628,923,37.304882,13.779310,1.238583,12.58
36,681,926,37.265618,14.384847,0.728658,35.97
37,733,930,37.222464,14.989545,0.545888,122.72
38,785,934,37.175430,15.593329,5.738440,85.29
39,837,938,37.124526,16.196122,5.708893,93.45
40,889,943,37.069766,16.797847,5.497574,93.28
41,941,948,37.011162,17.398431,6.176845,103.62
42,992,953,36.948729,17.997799,5.582530,108.68
43,50,866,37.962086,7.078190,11.092373,2.37
44,103,865,37.966067,7.692716,10.766189,4.74
45,156,865,37.966067,8.307283,9.938206,16.05
46,209,866,37.962087,8.921809,8.555612,32.91
47,262,866,37.954126,9.536210,8.280402,44.70
48,315,868,37.942187,10.150404,6.809069,62.40
49,368,869,37.926273,10.764308,8.319110,92.23
50,421,871,37.906387,11.377840,8.780336,92.05
51,474,873,37.882536,11.990917,6.211865,84.28
52,527,875,37.854723,12.603458,2.566310,110.64
53,580,878,37.822957,13.215381,1.891177,80.73
54,632,881,37.787244,13.826606,2.090971,83.25
55,685,884,37.747593,14.437052,1.090190,78.59
56,738,888,37.704015,15.046639,1.270118,50.07
57,790,892,37.656518,15.655289,6.949111,88.79
58,843,897,37.605115,16.262924,6.406566,84.89
59,895,901,37.549818,16.869465,5.931351,91.61
60,947,906,37.490640,17.474836,7.000987,95.48
61,999,912,37.427595,18.078962,6.686852,100.24
62,49,824,38.446939,7.070554,11.139066,9.53
63,103,824,38.450959,7.690170,9.957990,14.33
64,156,824,38.450959,8.309829,9.379133,17.58
65,210,824,38.446939,8.929445,9.205679,33.64
66,263,825,38.438899,9.548934,9.655170,47.57
67,317,826,38.426842,10.168210,9.553190,64.87
68,370,827,38.410771,10.787189,10.081937,78.13
69,423,829,38.390689,11.405787,9.075690,80.97
70,477,831,38.366602,12.023918,7.496068,75.35
71,530,833,38.338515,12.641500,7.575648,65.15
72,583,836,38.306435,13.258449,5.995460,59.25
73,637,839,38.270370,13.874681,1.466166,168.11
74,690,843,38.230329,14.490116,2.408312,-165.28
75,743,846,38.186321,15.104671,1.950372,-167.81
76,796,851,38.138358,15.718265,3.008857,120.19
77,848,855,38.086450,16.330818,6.817009,78.70
78,901,860,38.030610,16.942252,6.326779,85.46
79,954,865,37.970852,17.552486,7.356938,92.98
80,1006,871,37.907190,18.161445,7.491741,94.06
81,49,782,38.932547,7.062790,9.567304,13.95
82,102,782,38.936607,7.687582,9.841664,20.20
83,156,782,38.936607,8.312417,8.861293,26.51
84,210,782,38.932547,8.937209,5.892939,33.86
85,264,783,38.924428,9.561870,10.215769,52.77
86,318,784,38.912252,10.186313,10.650135,66.86
87,372,785,38.896022,10.810452,10.908618,73.41
88,426,787,38.875741,11.434199,10.202843,75.95
89,480,789,38.851416,12.057469,8.427686,70.95
90,533,791,38.823051,12.680175,7.108651,59.06
91,587,794,38.790655,13.302232,6.988360,44.76
92,641,797,38.754234,13.923555,2.490551,40.41
93,694,801,38.713798,14.544060,0.931974,89.41
94,748,805,38.669357,15.163663,1.671004,-113.20
95,801,809,38.620921,15.782282,7.920209,74.16
96,854,813,38.568503,16.399834,3.165567,73.96
97,908,818,38.512115,17.016237,8.517842,75.57
98,961,824,38.451770,17.631413,7.833824,86.55
99,1014,829,38.387484,18.245281,8.012656,84.58
100,48,740,39.418884,7.054895,8.291195,15.03
101,102,740,39.422985,7.684950,8.828950,17.28
102,157,740,39.422985,8.315049,7.471933,50.95
103,211,740,39.418884,8.945104,2.866415,87.44
104,265,741,39.410685,9.575024,2.238724,81.17
105,320,742,39.398388,10.204721,11.125161,66.36
106,374,743,39.381997,10.834106,11.495597,71.56
107,428,745,39.361516,11.463089,10.962625,70.42
108,483,747,39.336950,12.091583,9.416627,70.18
109,537,750,39.308305,12.719499,7.353056,58.59
110,591,752,39.275588,13.346749,6.759909,52.06
111,645,756,39.238808,13.973247,4.955900,43.14
112,699,759,39.197973,14.598906,3.436006,41.24
113,753,763,39.153093,15.223640,1.855058,63.93
114,807,767,39.104181,15.847365,3.257036,82.72
115,861,772,39.051246,16.469997,1.123213,175.85
116,914,777,38.994304,17.091452,5.928935,73.24
117,968,782,38.933366,17.711647,9.504952,85.67
118,1021,788,38.868450,18.330503,8.674489,94.42
119,47,698,39.905922,7.046866,6.418882,16.60
120,102,698,39.910063,7.682273,6.207932,7.75
121,157,698,39.910063,8.317726,6.995446,54.55
122,212,698,39.905922,8.953133,2.599766,107.83
123,267,699,39.897641,9.588402,2.407589,66.18
124,321,700,39.885223,10.223442,12.072254,72.04
125,376,701,39.868669,10.858161,12.373535,69.21
126,431,703,39.847985,11.492469,11.312281,70.68
127,486,705,39.823176,12.126275,10.247849,69.93
128,540,708,39.794247,12.759488,8.254669,65.91
129,595,711,39.761207,13.392019,7.573972,57.70
130,649,714,39.724063,14.023777,5.817675,50.21
131,704,717,39.682824,14.654676,4.220215,47.17
132,758,721,39.637502,15.284627,4.823043,66.97
133,812,725,39.588107,15.913542,1.410866,120.54
134,867,730,39.534651,16.541337,1.190503,109.76
135,921,735,39.477148,17.167925,10.099470,85.31
136,975,740,39.415612,17.793222,11.032167,83.87
137,1029,746,39.350057,18.417146,9.478822,89.17
138,46,656,40.393632,7.038700,5.793052,17.59
139,102,656,40.397814,7.679551,5.690282,13.96
140,157,656,40.397814,8.320448,8.364007,82.44
141,212,656,40.393632,8.961299,2.687704,74.51
142,268,657,40.385269,9.602008,0.807741,-62.51
143,323,658,40.372727,10.242483,12.667755,76.00
144,378,659,40.356009,10.882628,12.940865,71.63
145,433,661,40.335120,11.522352,11.785072,74.33
146,489,663,40.310065,12.161560,10.164289,69.16
147,544,666,40.280850,12.800160,8.720878,67.20
148,599,669,40.247482,13.438060,8.436296,58.86
149,654,672,40.209970,14.075169,6.379275,58.63
150,709,675,40.168324,14.711395,5.634690,40.81
151,764,679,40.122554,15.346649,1.396022,66.33
