vector_id,pixel_x,pixel_y,latitude,longitude,magnitude,alpha_deg
0,0,992,36.504607,6.500736,30.274258,-14.27
1,52,991,36.512337,7.100364,29.118717,-12.81
2,104,991,36.516202,7.700108,27.534393,-9.16
3,155,991,36.516202,8.299891,25.730547,-6.32
4,207,991,36.512337,8.899635,23.386885,-5.30
5,259,992,36.504607,9.499263,19.890453,-1.13
6,51,949,36.994759,7.093092,30.981665,-10.12
7,103,949,36.998662,7.697684,29.989973,-6.10
8,156,949,36.998662,8.302315,27.654202,-4.62
9,208,949,36.994759,8.906907,25.211674,-0.47
10,260,950,36.986953,9.511380,21.637459,-2.82
11,312,951,36.975246,10.115655,18.650433,8.55
12,364,952,36.959642,10.719655,18.880188,11.87
13,416,954,36.940143,11.323300,18.706930,7.95
14,468,956,36.916755,11.926512,20.936684,31.17
15,520,958,36.889483,12.529213,20.137341,34.05
16,572,961,36.858333,13.131326,21.381231,23.86
17,624,964,36.823313,13.732773,20.658756,28.93
18,676,967,36.784431,14.333479,19.413305,32.33
19,728,971,36.741697,14.933367,20.633945,42.99
20,780,975,36.695120,15.532361,18.772003,44.30
21,831,980,36.644711,16.130388,18.942720,43.09
22,883,984,36.590482,16.727372,17.934555,42.28
23,934,989,36.532447,17.323242,19.186890,41.67
24,51,908,37.478018,7.085702,30.087370,-6.05
25,103,907,37.481960,7.695220,30.882257,-4.64
26,156,907,37.481960,8.304779,27.615614,-2.07
27,208,908,37.478018,8.914297,27.299013,0.27
28,261,908,37.470135,9.523694,22.928568,9.37
29,314,909,37.458313,10.132888,19.849901,12.38
30,366,911,37.442554,10.741800,18.876352,18.22
31,419,912,37.422863,11.350348,18.942514,15.61
32,471,914,37.399244,11.958453,18.945179,11.83
33,524,917,37.371703,12.566034,22.731911,42.53
34,576,919,37.340247,13.173013,23.147148,28.62
35,628,923,37.304882,13.779310,20.644938,33.33
36,681,926,37.265618,14.384847,18.981241,33.16
37,733,930,37.222464,14.989545,16.785686,32.97
38,785,934,37.175430,15.593329,18.575375,47.67
39,837,938,37.124526,16.196122,18.370853,44.12
40,889,943,37.069766,16.797847,18.460987,42.92
41,941,948,37.011162,17.398431,17.876085,39.80
42,992,953,36.948729,17.997799,18.442427,40.38
43,50,866,37.962086,7.078190,29.362169,-6.50
44,103,865,37.966067,7.692716,27.754299,-1.23
45,156,865,37.966067,8.307283,27.011982,3.85
46,209,866,37.962087,8.921809,27.776165,3.81
47,262,866,37.954126,9.536210,25.149254,11.30
48,315,868,37.942187,10.150404,20.938076,18.94
49,368,869,37.926273,10.764308,20.830193,25.45
50,421,871,37.906387,11.377840,21.807215,14.84
51,474,873,37.882536,11.990917,18.669239,17.41
52,527,875,37.854723,12.603458,24.624559,39.72
53,580,878,37.822957,13.215381,23.535982,36.20
54,632,881,37.787244,13.826606,18.978004,30.29
55,685,884,37.747593,14.437052,14.514903,29.97
56,738,888,37.704015,15.046639,14.056310,32.84
57,790,892,37.656518,15.655289,16.626158,36.09
58,843,897,37.605115,16.262924,18.526316,39.48
59,895,901,37.549818,16.869465,17.338694,39.11
60,947,906,37.490640,17.474836,17.147787,39.56
61,999,912,37.427595,18.078962,17.553574,39.04
62,49,824,38.446939,7.070554,30.040398,-3.96
63,103,824,38.450959,7.690170,28.085278,-2.31
64,156,824,38.450959,8.309829,25.107828,2.79
65,210,824,38.446939,8.929445,25.490244,12.57
66,263,825,38.438899,9.548934,24.471933,16.86
67,317,826,38.426842,10.168210,23.103668,18.11
