frame,idx,hdim_1,hdim_2,num,threshold_value,feature,time,timestr,y,x,latitude,longitude,cell,time_cell
0,1,154.27921458188945,432.10682953496297,4821,0.7,1,2019-11-01 01:00:00,2019-11-01 01:00:00,154.27921458188945,432.10682953496297,45.671317247367924,14.279748231764424,1,0 days 00:00:00
0,2,168.82134358043768,55.46254683292897,445,0.7,2,2019-11-01 01:00:00,2019-11-01 01:00:00,168.82134358043768,55.46254683292897,45.78172386666275,11.420968097403637,2,0 days 00:00:00
0,3,185.51713854082038,520.5243859715926,360,0.7,3,2019-11-01 01:00:00,2019-11-01 01:00:00,185.51713854082038,520.5243859715926,45.908481529051784,14.950849229385902,3,0 days 00:00:00
0,6,250.58564774618162,480.0504282900595,3909,0.7,4,2019-11-01 01:00:00,2019-11-01 01:00:00,250.58564774618162,480.0504282900595,46.40249407182567,14.643646514535558,4,0 days 00:00:00
0,7,419.16802024347805,49.198674554833765,7684,0.7,5,2019-11-01 01:00:00,2019-11-01 01:00:00,419.16802024347805,49.198674554833765,47.68240362440819,11.373424474799497,5,0 days 00:00:00
1,1,147.2228383838586,447.20849485996456,3207,0.7,6,2019-11-01 02:00:00,2019-11-01 02:00:00,147.2228383838586,447.20849485996456,45.61774389228526,14.394371877494986,1,0 days 01:00:00
1,2,166.31537650911864,52.62577273213923,406,0.7,7,2019-11-01 02:00:00,2019-11-01 02:00:00,166.31537650911864,52.62577273213923,45.76269808629483,11.399436605177527,2,0 days 01:00:00
1,4,250.87544125764217,514.809392245521,699,0.7,8,2019-11-01 02:00:00,2019-11-01 02:00:00,250.87544125764217,514.809392245521,46.404694239483185,14.907471667897696,4,0 days 01:00:00
1,5,425.03690711669043,39.20643146233805,5429,0.7,9,2019-11-01 02:00:00,2019-11-01 02:00:00,425.03690711669043,39.20643146233805,47.72696133385774,11.297582022484539,5,0 days 01:00:00
2,1,145.53441055173175,435.34977695427693,1791,0.7,10,2019-11-01 03:00:00,2019-11-01 03:00:00,145.53441055173175,435.34977695427693,45.604925025880824,14.304362633429047,6,0 days 00:00:00
2,2,152.65914475211463,480.22172995260115,347,0.7,11,2019-11-01 03:00:00,2019-11-01 03:00:00,152.65914475211463,480.22172995260115,45.659017367966165,14.64494671690779,1,0 days 02:00:00
2,4,439.29171553994325,30.26942019471866,2629,0.7,12,2019-11-01 03:00:00,2019-11-01 03:00:00,439.29171553994325,30.26942019471866,47.83518656049848,11.229748919884013,5,0 days 02:00:00
3,1,144.06079821207913,431.16179720984354,1109,0.7,13,2019-11-01 04:00:00,2019-11-01 04:00:00,144.06079821207913,431.16179720984354,45.59373707970126,14.272575310890652,6,0 days 01:00:00
3,3,164.08603399881417,50.88876529535235,482,0.7,14,2019-11-01 04:00:00,2019-11-01 04:00:00,164.08603399881417,50.88876529535235,45.74577249239881,11.386252488010262,2,0 days 03:00:00
3,4,270.4822443605072,515.0656193928188,756,0.7,15,2019-11-01 04:00:00,2019-11-01 04:00:00,270.4822443605072,515.0656193928188,46.553552831370446,14.909416465979652,4,0 days 03:00:00
3,5,434.90496889580515,52.67248491795277,5534,0.7,16,2019-11-01 04:00:00,2019-11-01 04:00:00,434.90496889580515,52.67248491795277,47.80188154259288,11.399791156872507,5,0 days 03:00:00
4,4,441.56722051764405,44.70978434367893,3585,0.7,17,2019-11-01 05:00:00,2019-11-01 05:00:00,441.56722051764405,44.70978434367893,47.852462628658905,11.339353201849555,5,0 days 04:00:00
5,3,444.77416202377026,30.351040536854168,2121,0.7,18,2019-11-01 06:00:00,2019-11-01 06:00:00,444.77416202377026,30.351040536854168,47.87681034074446,11.230368429122233,5,0 days 05:00:00
6,1,443.21127948754736,13.762382595294087,1093,0.7,19,2019-11-01 07:00:00,2019-11-01 07:00:00,443.21127948754736,13.762382595294087,47.86494463819179,11.104458311918739,5,0 days 06:00:00
7,2,439.7433734603528,6.295397938637345,608,0.7,20,2019-11-01 08:00:00,2019-11-01 08:00:00,439.7433734603528,6.295397938637345,47.83861563364693,11.047782906555122,5,0 days 07:00:00
9,1,4.673127926307891,58.37657940205413,373,0.7,21,2019-11-01 10:00:00,2019-11-01 10:00:00,4.673127926307891,58.37657940205413,44.53547927926698,11.443085991666445,7,0 days 00:00:00
9,2,163.2066546951664,7.793303543507124,374,0.7,22,2019-11-01 10:00:00,2019-11-01 10:00:00,163.2066546951664,7.793303543507124,45.73909607686135,11.059152209058878,8,0 days 00:00:00
9,3,172.64574088868358,49.790701597065,405,0.7,23,2019-11-01 10:00:00,2019-11-01 10:00:00,172.64574088868358,49.790701597065,45.810759421063764,11.3779180386874,9,0 days 00:00:00
9,4,303.77013509450194,8.841923380663106,392,0.7,24,2019-11-01 10:00:00,2019-11-01 10:00:00,303.77013509450194,8.841923380663106,46.80628085212746,11.067111372908258,10,0 days 00:00:00
