frame,idx,hdim_1,hdim_2,num,threshold_value,feature,time,timestr,y,x,latitude,longitude,cell,time_cell
0,1,195.47311658341255,545.0549169827576,3141,0.5,1,2019-11-01 01:00:00,2019-11-01 01:00:00,195.47311658341255,545.0549169827576,45.67149984253758,14.268695154319385,1,0 days 00:00:00
0,5,555.4261478199096,44.476970075071854,4592,0.5,2,2019-11-01 01:00:00,2019-11-01 01:00:00,555.4261478199096,44.476970075071854,47.82875259823575,11.266728456222319,2,0 days 00:00:00
3,3,568.1842368416235,49.26686872069468,3196,0.5,3,2019-11-01 04:00:00,2019-11-01 04:00:00,568.1842368416235,49.26686872069468,47.90521374819466,11.295453485581378,2,0 days 03:00:00
18,12,453.1943391302873,197.42553180990024,4489,0.5,4,2019-11-01 19:00:00,2019-11-01 19:00:00,453.1943391302873,197.42553180990024,47.216061963965764,12.183961210254274,3,0 days 00:00:00
20,12,386.3872402958157,241.46245329200633,13954,0.5,5,2019-11-01 21:00:00,2019-11-01 21:00:00,386.3872402958157,241.46245329200633,46.81567695382766,12.448050694404836,3,0 days 02:00:00
20,14,545.8647528704123,498.4551764083412,5941,0.5,6,2019-11-01 21:00:00,2019-11-01 21:00:00,545.8647528704123,498.4551764083412,47.77144971754528,13.98923644022993,4,0 days 00:00:00
21,18,433.5962204891784,411.5822619390055,83635,0.5,7,2019-11-01 22:00:00,2019-11-01 22:00:00,433.5962204891784,411.5822619390055,47.09860748580843,13.468259441913077,5,0 days 00:00:00
22,9,419.1515873028704,373.0410387942093,97520,0.5,8,2019-11-01 23:00:00,2019-11-01 23:00:00,419.1515873028704,373.0410387942093,47.012038622534334,13.23712766893079,5,0 days 01:00:00
23,10,410.95539125479183,396.97289547756384,96582,0.5,9,2019-11-02 00:00:00,2019-11-02 00:00:00,410.95539125479183,396.97289547756384,46.96291758457495,13.380647049340713,5,0 days 02:00:00
24,9,410.7764453933712,411.2881090533587,99974,0.5,10,2019-11-02 01:00:00,2019-11-02 01:00:00,410.7764453933712,411.2881090533587,46.96184513506301,13.466495406616843,5,0 days 03:00:00
24,13,521.7198863763517,43.49131672867441,4738,0.5,11,2019-11-02 01:00:00,2019-11-02 01:00:00,521.7198863763517,43.49131672867441,47.626745894378814,11.260817491626234,6,0 days 00:00:00
25,6,409.6223095797564,449.1382063992216,94718,0.5,12,2019-11-02 02:00:00,2019-11-02 02:00:00,409.6223095797564,449.1382063992216,46.954928225221146,13.693482497146755,5,0 days 04:00:00
25,10,515.9653656071407,105.93042647391762,5187,0.5,13,2019-11-02 02:00:00,2019-11-02 02:00:00,515.9653656071407,105.93042647391762,47.59225818428937,11.635264926380314,6,0 days 01:00:00
26,6,400.3716791481155,478.55413670541213,81684,0.5,14,2019-11-02 03:00:00,2019-11-02 03:00:00,400.3716791481155,478.55413670541213,46.89948780311371,13.869889875294824,5,0 days 05:00:00
27,4,422.3774456730116,436.29041623231427,95031,0.5,15,2019-11-02 04:00:00,2019-11-02 04:00:00,422.3774456730116,436.29041623231427,47.03137167783484,13.616434280253758,5,0 days 06:00:00
28,5,413.720181861488,465.40103350015505,78359,0.5,16,2019-11-02 05:00:00,2019-11-02 05:00:00,413.720181861488,465.40103350015505,46.979487391293155,13.791010695653103,5,0 days 07:00:00
