frame,idx,hdim_1,hdim_2,num,threshold_value,feature,time,timestr,y,x,latitude,longitude,cell,time_cell
0,1,25.10067449054758,163.5753605670182,14082,0.65,1,2019-11-01 01:00:00,2019-11-01 01:00:00,25.10067449054758,163.5753605670182,44.65043212451526,11.980961682560828,1,0 days 00:00:00
0,2,14.847041499276694,417.97650161124886,3813,0.65,2,2019-11-01 01:00:00,2019-11-01 01:00:00,14.847041499276694,417.97650161124886,44.5889805569306,13.506605706814085,2,0 days 00:00:00
0,4,282.0966303922481,542.0644979210061,33278,0.65,3,2019-11-01 01:00:00,2019-11-01 01:00:00,282.0966303922481,542.0644979210061,46.190647613652175,14.250761606722676,3,0 days 00:00:00
1,1,23.022299782792818,162.94580012689016,12804,0.65,4,2019-11-01 02:00:00,2019-11-01 02:00:00,23.022299782792818,162.94580012689016,44.63797611171195,11.977186207657512,1,0 days 01:00:00
1,5,278.7113491211672,544.4998959544008,34300,0.65,5,2019-11-01 02:00:00,2019-11-01 02:00:00,278.7113491211672,544.4998959544008,46.17035911288371,14.265366692380214,3,0 days 01:00:00
2,1,22.639109283174008,158.0770734892373,12489,0.65,6,2019-11-01 03:00:00,2019-11-01 03:00:00,22.639109283174008,158.0770734892373,44.6356795933067,11.947988446712069,1,0 days 02:00:00
2,4,282.1276482452602,532.6324977468211,29529,0.65,7,2019-11-01 03:00:00,2019-11-01 03:00:00,282.1276482452602,532.6324977468211,46.190833508319194,14.19419788753716,3,0 days 02:00:00
2,5,242.9707758852914,641.4028799898646,4594,0.65,8,2019-11-01 03:00:00,2019-11-01 03:00:00,242.9707758852914,641.4028799898646,45.956160471915275,14.846494032922728,4,0 days 00:00:00
2,8,571.800024087659,111.83457077856403,3446,0.65,9,2019-11-01 03:00:00,2019-11-01 03:00:00,571.800024087659,111.83457077856403,47.9268837060048,11.670672088627072,5,0 days 00:00:00
3,1,20.307090013333053,153.1113401132463,10968,0.65,10,2019-11-01 04:00:00,2019-11-01 04:00:00,20.307090013333053,153.1113401132463,44.62170345042237,11.918208936211371,1,0 days 03:00:00
3,4,176.16643337712853,526.1532275934796,3743,0.65,11,2019-11-01 04:00:00,2019-11-01 04:00:00,176.16643337712853,526.1532275934796,45.55579198085608,14.15534169471352,6,0 days 00:00:00
3,9,233.42293781126153,404.1240469604123,3589,0.65,12,2019-11-01 04:00:00,2019-11-01 04:00:00,233.42293781126153,404.1240469604123,45.89893883962229,13.42353251550472,7,0 days 00:00:00
3,12,378.9716697758593,587.5759218304429,11610,0.65,13,2019-11-01 04:00:00,2019-11-01 04:00:00,378.9716697758593,587.5759218304429,46.77123432228683,14.523693684140586,8,0 days 00:00:00
4,1,15.016110177733026,129.0398420310312,7568,0.65,14,2019-11-01 05:00:00,2019-11-01 05:00:00,15.016110177733026,129.0398420310312,44.58999381099669,11.773852126123126,1,0 days 04:00:00
4,4,203.4459167433456,470.0803513554462,8027,0.65,15,2019-11-01 05:00:00,2019-11-01 05:00:00,203.4459167433456,470.0803513554462,45.719282035276905,13.819072571846753,6,0 days 01:00:00
4,9,359.22426608852436,574.9811258074417,13174,0.65,16,2019-11-01 05:00:00,2019-11-01 05:00:00,359.22426608852436,574.9811258074417,46.652885156352454,14.448162673507895,8,0 days 01:00:00
5,2,11.459915953910706,174.0236155138745,3233,0.65,17,2019-11-01 06:00:00,2019-11-01 06:00:00,11.459915953910706,174.0236155138745,44.56868100314844,12.043619883141675,1,0 days 05:00:00
5,5,176.9552514677303,530.3204391734604,4007,0.65,18,2019-11-01 06:00:00,2019-11-01 06:00:00,176.9552514677303,530.3204391734604,45.56051948653605,14.180332468806359,9,0 days 00:00:00
5,9,232.4263849840963,404.8446595004259,3629,0.65,19,2019-11-01 06:00:00,2019-11-01 06:00:00,232.4263849840963,404.8446595004259,45.89296634836359,13.42785402998756,6,0 days 02:00:00
5,11,358.0203846767245,573.8884986518823,13307,0.65,20,2019-11-01 06:00:00,2019-11-01 06:00:00,358.0203846767245,573.8884986518823,46.64567011364475,14.441610186817885,8,0 days 02:00:00
6,11,422.89676009809693,624.3963219915892,4790,0.65,21,2019-11-01 07:00:00,2019-11-01 07:00:00,422.89676009809693,624.3963219915892,47.03448400743722,14.744505679109981,8,0 days 03:00:00
6,12,555.3125884507249,150.50627444092916,7730,0.65,22,2019-11-01 07:00:00,2019-11-01 07:00:00,555.3125884507249,150.50627444092916,47.828072019824546,11.90258635346884,10,0 days 00:00:00
7,12,424.55638577927243,625.9468736418983,3855,0.65,23,2019-11-01 08:00:00,2019-11-01 08:00:00,424.55638577927243,625.9468736418983,47.04443039422509,14.75380433968155,8,0 days 04:00:00
7,13,540.1385004231432,167.81030493100687,10053,0.65,24,2019-11-01 08:00:00,2019-11-01 08:00:00,540.1385004231432,167.81030493100687,47.737131423768844,12.00635865026091,10,0 days 01:00:00
8,7,538.3597061910841,157.90606545686418,8580,0.65,25,2019-11-01 09:00:00,2019-11-01 09:00:00,538.3597061910841,157.90606545686418,47.72647084189862,11.946962911285542,10,0 days 02:00:00
9,8,523.798347218795,188.98415645090293,3286,0.65,26,2019-11-01 10:00:00,2019-11-01 10:00:00,523.798347218795,188.98415645090293,47.63920242340032,12.133338269570633,10,0 days 03:00:00
15,20,428.3042489351532,633.2040548093469,4348,0.65,27,2019-11-01 16:00:00,2019-11-01 16:00:00,428.3042489351532,633.2040548093469,47.06689190286479,14.797325666023072,11,0 days 00:00:00
16,7,193.59673112447538,38.94620426468255,3089,0.65,28,2019-11-01 17:00:00,2019-11-01 17:00:00,193.59673112447538,38.94620426468255,45.66025438173915,11.233560445365413,12,0 days 00:00:00
16,17,421.4096813179728,634.737819213125,5534,0.65,29,2019-11-01 17:00:00,2019-11-01 17:00:00,421.4096813179728,634.737819213125,47.025571720227575,14.806523653452023,11,0 days 01:00:00
