frame,idx,hdim_1,hdim_2,num,threshold_value,feature,time,timestr,y,x,latitude,longitude,cell,time_cell
0,1,289.3437946411144,334.5166047753087,379775,0.6,1,2019-11-01 01:00:00,2019-11-01 01:00:00,289.3437946411144,334.5166047753087,46.23408096103408,13.00609658036167,1,0 days 00:00:00
1,1,293.28620464858204,333.7085964806262,375209,0.6,2,2019-11-01 02:00:00,2019-11-01 02:00:00,293.28620464858204,333.7085964806262,46.25770841827061,13.001250953407054,1,0 days 01:00:00
2,1,295.25707514057206,330.88944993815824,370016,0.6,3,2019-11-01 03:00:00,2019-11-01 03:00:00,295.25707514057206,330.88944993815824,46.2695201421096,12.984344527365266,1,0 days 02:00:00
3,1,289.1087073773032,333.0449841527262,369354,0.6,4,2019-11-01 04:00:00,2019-11-01 04:00:00,289.1087073773032,333.0449841527262,46.23267204763795,12.997271269281716,1,0 days 03:00:00
4,1,288.29053600449174,331.52862461279136,366066,0.6,5,2019-11-01 05:00:00,2019-11-01 05:00:00,288.29053600449174,331.52862461279136,46.227768623314596,12.988177658847324,1,0 days 04:00:00
5,1,285.6548195726702,328.4396471436656,356648,0.6,6,2019-11-01 06:00:00,2019-11-01 06:00:00,285.6548195726702,328.4396471436656,46.21197237757593,12.969653056333826,1,0 days 05:00:00
6,1,287.061569743227,329.963620505991,344020,0.6,7,2019-11-01 07:00:00,2019-11-01 07:00:00,287.061569743227,329.963620505991,46.220403243324135,12.978792326872512,1,0 days 06:00:00
7,1,296.36898194325914,333.5878311522179,328846,0.6,8,2019-11-01 08:00:00,2019-11-01 08:00:00,296.36898194325914,333.5878311522179,46.2761839671257,13.00052672355153,1,0 days 07:00:00
8,1,301.91871584779113,335.8678440668839,321671,0.6,9,2019-11-01 09:00:00,2019-11-01 09:00:00,301.91871584779113,335.8678440668839,46.30944435867683,13.014199964419095,1,0 days 08:00:00
9,1,296.0168523205862,340.72643119767076,340188,0.6,10,2019-11-01 10:00:00,2019-11-01 10:00:00,296.0168523205862,340.72643119767076,46.27407360123638,13.04333691872666,1,0 days 09:00:00
