frame,idx,hdim_1,hdim_2,num,threshold_value,feature,time,timestr,y,x,latitude,longitude,cell,time_cell
0,1,379.4869289486808,219.94062358376473,186714,0.65,1,2019-11-01 01:00:00,2019-11-01 01:00:00,379.4869289486808,219.94062358376473,46.774322348151344,12.318984249377898,1,0 days 00:00:00
1,1,376.21674864762133,212.37103969438445,182820,0.65,2,2019-11-01 02:00:00,2019-11-01 02:00:00,376.21674864762133,212.37103969438445,46.7547236648402,12.273589443444585,1,0 days 01:00:00
2,1,375.20658959554606,208.40089392723732,180199,0.65,3,2019-11-01 03:00:00,2019-11-01 03:00:00,375.20658959554606,208.40089392723732,46.748669629425365,12.24978047332676,1,0 days 02:00:00
3,1,367.47635702329006,190.5682926319178,159446,0.65,4,2019-11-01 04:00:00,2019-11-01 04:00:00,367.47635702329006,190.5682926319178,46.70234118079026,12.142838336623194,1,0 days 03:00:00
4,1,363.74876413526067,191.61274726826682,165236,0.65,5,2019-11-01 05:00:00,2019-11-01 05:00:00,363.74876413526067,191.61274726826682,46.680001154920234,12.14910193264328,1,0 days 04:00:00
5,1,358.50170924874743,188.57327309243797,167898,0.65,6,2019-11-01 06:00:00,2019-11-01 06:00:00,358.50170924874743,188.57327309243797,46.64855476433324,12.1308742014539,1,0 days 05:00:00
6,1,348.90936507804184,181.43215935293063,167561,0.65,7,2019-11-01 07:00:00,2019-11-01 07:00:00,348.90936507804184,181.43215935293063,46.591066400296484,12.088048931651757,1,0 days 06:00:00
7,1,347.99289478850113,188.486454348483,166598,0.65,8,2019-11-01 08:00:00,2019-11-01 08:00:00,347.99289478850113,188.486454348483,46.585573855753,12.13035354931624,1,0 days 07:00:00
8,1,340.9863801783448,199.5042500336405,185812,0.65,9,2019-11-01 09:00:00,2019-11-01 09:00:00,340.9863801783448,199.5042500336405,46.54358275791816,12.196427286558563,1,0 days 08:00:00
9,1,336.7040993285683,228.5259715632473,229608,0.65,10,2019-11-01 10:00:00,2019-11-01 10:00:00,336.7040993285683,228.5259715632473,46.51791840351025,12.370470594082441,1,0 days 09:00:00
10,1,333.8149706800937,248.5344676041452,248660,0.65,11,2019-11-01 11:00:00,2019-11-01 11:00:00,333.8149706800937,248.5344676041452,46.5006034201718,12.490461574837452,1,0 days 10:00:00
11,1,326.47149923474,263.0267567006458,262477,0.65,12,2019-11-01 12:00:00,2019-11-01 12:00:00,326.47149923474,263.0267567006458,46.4565928892493,12.577371854276738,1,0 days 11:00:00
12,1,315.3539622196347,279.89546942261586,281348,0.65,13,2019-11-01 13:00:00,2019-11-01 13:00:00,315.3539622196347,279.89546942261586,46.38996381467246,12.678533549760814,1,0 days 12:00:00
13,1,310.13524688708316,300.9529861567852,307754,0.65,14,2019-11-01 14:00:00,2019-11-01 14:00:00,310.13524688708316,300.9529861567852,46.35868726730272,12.804815509186119,1,0 days 13:00:00
14,1,305.88888228639524,321.09133229454017,332617,0.65,15,2019-11-01 15:00:00,2019-11-01 15:00:00,305.88888228639524,321.09133229454017,46.333238164387645,12.925585201166657,1,0 days 14:00:00
15,1,295.59867563158866,331.16665244991856,346763,0.65,16,2019-11-01 16:00:00,2019-11-01 16:00:00,295.59867563158866,331.16665244991856,46.2715674053263,12.98600691124389,1,0 days 15:00:00
16,1,284.73964342695547,343.98612940066033,370731,0.65,17,2019-11-01 17:00:00,2019-11-01 17:00:00,284.73964342695547,343.98612940066033,46.20648758903141,13.062885333737093,1,0 days 16:00:00
17,1,276.3955255925757,351.4124128912125,387772,0.65,18,2019-11-01 18:00:00,2019-11-01 18:00:00,276.3955255925757,351.4124128912125,46.156480033517155,13.107420766963793,1,0 days 17:00:00
18,1,277.46598604872474,345.9389558985232,390644,0.65,19,2019-11-01 19:00:00,2019-11-01 19:00:00,277.46598604872474,345.9389558985232,46.162895464333104,13.074596437172554,1,0 days 18:00:00
