frame,idx,hdim_1,hdim_2,num,threshold_value,feature,time,timestr,y,x,latitude,longitude,cell,time_cell
0,2,146.62406437102544,260.3384103167973,4010,0.6,1,2019-11-01 01:00:00,2019-11-01 01:00:00,146.62406437102544,260.3384103167973,45.37874011181265,12.561249836982293,1,0 days 00:00:00
0,3,453.6476881513191,363.0154671046619,55544,0.6,2,2019-11-01 01:00:00,2019-11-01 01:00:00,453.6476881513191,363.0154671046619,47.218778952961664,13.177004300477734,2,0 days 00:00:00
1,1,68.67616381516531,471.07041192391296,2715,0.6,3,2019-11-01 02:00:00,2019-11-01 02:00:00,68.67616381516531,471.07041192391296,44.91158659820733,13.825009966560199,3,0 days 00:00:00
1,2,148.06965715626706,257.12520655781924,4987,0.6,4,2019-11-01 02:00:00,2019-11-01 02:00:00,148.06965715626706,257.12520655781924,45.38740376720366,12.541980249222306,1,0 days 01:00:00
1,4,433.63416520249706,419.92676158494413,52442,0.6,5,2019-11-01 02:00:00,2019-11-01 02:00:00,433.63416520249706,419.92676158494413,47.09883489419305,13.518301418800267,2,0 days 01:00:00
1,5,489.6949029209755,97.95723751597254,6427,0.6,6,2019-11-01 02:00:00,2019-11-01 02:00:00,489.6949029209755,97.95723751597254,47.43481534284831,11.587449700245713,4,0 days 00:00:00
2,1,67.56736284101443,473.7932676478837,3835,0.6,7,2019-11-01 03:00:00,2019-11-01 03:00:00,67.56736284101443,473.7932676478837,44.90494138688964,13.841338936419092,3,0 days 01:00:00
2,2,150.8706866457701,248.25569265950796,6312,0.6,8,2019-11-01 03:00:00,2019-11-01 03:00:00,150.8706866457701,248.25569265950796,45.40419075900718,12.48878976107651,1,0 days 02:00:00
2,5,431.8220658652915,407.5107704597824,61710,0.6,9,2019-11-01 03:00:00,2019-11-01 03:00:00,431.8220658652915,407.5107704597824,47.0879747098091,13.443842701407991,2,0 days 02:00:00
3,1,67.44799470475867,479.0131392699504,5185,0.6,10,2019-11-01 04:00:00,2019-11-01 04:00:00,67.44799470475867,479.0131392699504,44.90422599566209,13.872642514362521,3,0 days 02:00:00
3,2,151.0764049607338,249.38828203958542,6704,0.6,11,2019-11-01 04:00:00,2019-11-01 04:00:00,151.0764049607338,249.38828203958542,45.40542365986741,12.495581901286869,1,0 days 03:00:00
3,5,443.70813103801254,406.20765579008025,59029,0.6,12,2019-11-01 04:00:00,2019-11-01 04:00:00,443.70813103801254,406.20765579008025,47.15920968944015,13.436027920780093,2,0 days 03:00:00
4,2,66.18806890745037,485.4044199457935,6140,0.6,13,2019-11-01 05:00:00,2019-11-01 05:00:00,66.18806890745037,485.4044199457935,44.89667507050698,13.910971034157683,3,0 days 03:00:00
4,4,151.43551859070033,244.49255431103268,7749,0.6,14,2019-11-01 05:00:00,2019-11-01 05:00:00,151.43551859070033,244.49255431103268,45.40757588196482,12.466222214758817,1,0 days 04:00:00
4,6,434.8561218764772,423.0855684464849,61030,0.6,15,2019-11-01 05:00:00,2019-11-01 05:00:00,434.8561218764772,423.0855684464849,47.10615826467067,13.537244788284768,2,0 days 04:00:00
5,2,63.55140145041178,503.4507884809417,8900,0.6,16,2019-11-01 06:00:00,2019-11-01 06:00:00,63.55140145041178,503.4507884809417,44.88087312513089,14.01919513331899,3,0 days 04:00:00
5,3,142.89793120169998,211.9898359281797,12125,0.6,17,2019-11-01 06:00:00,2019-11-01 06:00:00,142.89793120169998,211.9898359281797,45.35640883425676,12.271303363887135,1,0 days 05:00:00
5,6,434.1887899404989,412.17619843713493,69973,0.6,18,2019-11-01 06:00:00,2019-11-01 06:00:00,434.1887899404989,412.17619843713493,47.10215884382148,13.47182127998282,2,0 days 05:00:00
6,3,59.23776721351809,520.5991482434329,19130,0.6,19,2019-11-01 07:00:00,2019-11-01 07:00:00,59.23776721351809,520.5991482434329,44.855020865149505,14.122033872524336,3,0 days 05:00:00
6,4,138.36272592214337,211.64244680261265,13811,0.6,20,2019-11-01 07:00:00,2019-11-01 07:00:00,138.36272592214337,211.64244680261265,45.32922866562929,12.269220070780285,1,0 days 06:00:00
6,6,151.39073618149814,373.7997855473016,3296,0.6,21,2019-11-01 07:00:00,2019-11-01 07:00:00,151.39073618149814,373.7997855473016,45.407307494238424,13.241677874346635,5,0 days 00:00:00
6,7,426.1771433759582,412.2721641867834,69593,0.6,22,2019-11-01 07:00:00,2019-11-01 07:00:00,426.1771433759582,412.2721641867834,47.05414383872578,13.472396786727336,2,0 days 06:00:00
7,2,92.71381174446901,395.11459583775195,43004,0.6,23,2019-11-01 08:00:00,2019-11-01 08:00:00,92.71381174446901,395.11459583775195,45.055647844358965,13.369502823614704,5,0 days 01:00:00
7,5,422.95532923626894,401.21585108125873,71919,0.6,24,2019-11-01 08:00:00,2019-11-01 08:00:00,422.95532923626894,401.21585108125873,47.03483502110778,13.406092060457324,2,0 days 07:00:00
8,2,92.3780339125868,421.5973080880362,39123,0.6,25,2019-11-01 09:00:00,2019-11-01 09:00:00,92.3780339125868,421.5973080880362,45.05363547721584,13.528319688683874,5,0 days 02:00:00
8,5,420.72700861153055,389.7930425118143,79792,0.6,26,2019-11-01 09:00:00,2019-11-01 09:00:00,420.72700861153055,389.7930425118143,47.021480359829376,13.337589460340714,2,0 days 08:00:00
9,2,94.54852432984322,428.4453558477779,37939,0.6,27,2019-11-01 10:00:00,2019-11-01 10:00:00,94.54852432984322,428.4453558477779,45.066643553346665,13.569387441365985,5,0 days 03:00:00
9,4,430.1690244326893,442.0575607358568,55555,0.6,28,2019-11-01 10:00:00,2019-11-01 10:00:00,430.1690244326893,442.0575607358568,47.078067783415094,13.651019854487897,2,0 days 09:00:00
10,3,92.68361015707838,406.48078906772747,49053,0.6,29,2019-11-01 11:00:00,2019-11-01 11:00:00,92.68361015707838,406.48078906772747,45.055466841694816,13.437665901455638,5,0 days 04:00:00
10,5,433.4501943813482,435.14111547343714,56501,0.6,30,2019-11-01 11:00:00,2019-11-01 11:00:00,433.4501943813482,435.14111547343714,47.09773232934028,13.609541921879684,2,0 days 10:00:00
11,2,92.45899018816995,419.36927615685835,51393,0.6,31,2019-11-01 12:00:00,2019-11-01 12:00:00,92.45899018816995,419.36927615685835,45.0541206603743,13.514958177852224,5,0 days 05:00:00
11,3,429.985512622206,428.6871161307829,54751,0.6,32,2019-11-01 12:00:00,2019-11-01 12:00:00,429.985512622206,428.6871161307829,47.0769679694824,13.570837278145625,2,0 days 11:00:00
12,4,89.42905657607979,446.19668692776935,43819,0.6,33,2019-11-01 13:00:00,2019-11-01 13:00:00,89.42905657607979,446.19668692776935,45.035961811671704,13.67584220046638,5,0 days 06:00:00
12,6,427.9723291804106,379.6814236611317,64428,0.6,34,2019-11-01 13:00:00,2019-11-01 13:00:00,427.9723291804106,379.6814236611317,47.064902657759305,13.276950066933324,2,0 days 12:00:00
13,3,82.76283148900303,459.5827401988416,34469,0.6,35,2019-11-01 14:00:00,2019-11-01 14:00:00,82.76283148900303,459.5827401988416,44.99601012022519,13.756118382002049,5,0 days 07:00:00
13,6,378.39550365243633,306.0222485021283,35140,0.6,36,2019-11-01 14:00:00,2019-11-01 14:00:00,378.39550365243633,306.0222485021283,46.7677812718896,12.835215883071234,2,0 days 13:00:00
13,7,508.1337945057795,534.1821636040927,21758,0.6,37,2019-11-01 14:00:00,2019-11-01 14:00:00,508.1337945057795,534.1821636040927,47.54532239857916,14.20349123600655,6,0 days 00:00:00
14,3,73.15167024311691,470.8664849934642,25345,0.6,38,2019-11-01 15:00:00,2019-11-01 15:00:00,73.15167024311691,470.8664849934642,44.93840898262142,13.82378701645256,5,0 days 08:00:00
14,7,376.15141762490924,300.43660290941136,34746,0.6,39,2019-11-01 15:00:00,2019-11-01 15:00:00,376.15141762490924,300.43660290941136,46.75433212617668,12.80171875807743,2,0 days 14:00:00
14,8,511.965312580895,537.7792877896236,19721,0.6,40,2019-11-01 15:00:00,2019-11-01 15:00:00,511.965312580895,537.7792877896236,47.568285263755364,14.225063195140173,6,0 days 01:00:00
15,2,67.7120438004578,478.95759103792216,21645,0.6,41,2019-11-01 16:00:00,2019-11-01 16:00:00,67.7120438004578,478.95759103792216,44.90580848168083,13.872309391531767,5,0 days 09:00:00
15,3,388.6861916679591,279.3609059996364,33779,0.6,42,2019-11-01 16:00:00,2019-11-01 16:00:00,388.6861916679591,279.3609059996364,46.829454915818246,12.675327772111762,2,0 days 15:00:00
