frame,idx,hdim_1,hdim_2,num,threshold_value,feature,time,timestr,y,x,latitude,longitude,cell,time_cell
0,1,245.40386364640167,588.022116968248,41242,0.65,1,2019-11-01 01:00:00,2019-11-01 01:00:00,245.40386364640167,588.022116968248,45.97074233349726,14.526369517050963,1,0 days 00:00:00
1,1,244.00782444944977,593.74639813241,39823,0.65,2,2019-11-01 02:00:00,2019-11-01 02:00:00,244.00782444944977,593.74639813241,45.96237566022787,14.560698039774572,1,0 days 01:00:00
2,1,247.33708801703204,590.4202128917476,42464,0.65,3,2019-11-01 03:00:00,2019-11-01 03:00:00,247.33708801703204,590.4202128917476,45.98232843845825,14.540750901899536,1,0 days 02:00:00
3,1,254.70925348481447,586.7650440860284,40215,0.65,4,2019-11-01 04:00:00,2019-11-01 04:00:00,254.70925348481447,586.7650440860284,46.02651093698091,14.518830849091623,1,0 days 03:00:00
4,1,248.551075407343,586.5300856351283,40529,0.65,5,2019-11-01 05:00:00,2019-11-01 05:00:00,248.551075407343,586.5300856351283,45.98960404781798,14.517421802909315,1,0 days 04:00:00
5,1,237.34996093315837,590.176195337873,38432,0.65,6,2019-11-01 06:00:00,2019-11-01 06:00:00,237.34996093315837,590.176195337873,45.92247408093502,14.539287528263106,1,0 days 05:00:00
6,3,231.4958868161697,610.877969768245,15504,0.65,7,2019-11-01 07:00:00,2019-11-01 07:00:00,231.4958868161697,610.877969768245,45.887389732631156,14.66343610055919,1,0 days 06:00:00
7,3,198.62569001671667,608.6217366500452,6999,0.65,8,2019-11-01 08:00:00,2019-11-01 08:00:00,198.62569001671667,608.6217366500452,45.690393690168676,14.649905467166688,1,0 days 07:00:00
10,1,115.90307832606707,143.77173410738612,13517,0.65,9,2019-11-01 11:00:00,2019-11-01 11:00:00,115.90307832606707,143.77173410738612,45.19462461325554,11.862199304991819,2,0 days 00:00:00
11,3,109.55599983743207,186.84747025004947,23985,0.65,10,2019-11-01 12:00:00,2019-11-01 12:00:00,109.55599983743207,186.84747025004947,45.15658561546406,12.120524559220685,2,0 days 01:00:00
12,1,114.3630187339566,169.86026835836918,19836,0.65,11,2019-11-01 13:00:00,2019-11-01 13:00:00,114.3630187339566,169.86026835836918,45.185394804056244,12.018652284008212,2,0 days 02:00:00
13,3,112.51496744176332,188.75161790979467,20391,0.65,12,2019-11-01 14:00:00,2019-11-01 14:00:00,112.51496744176332,188.75161790979467,45.17431915418865,12.131943735590973,2,0 days 03:00:00
14,4,107.96303720121394,235.0009244674729,12193,0.65,13,2019-11-01 15:00:00,2019-11-01 15:00:00,107.96303720121394,235.0009244674729,45.14703875034974,12.409300896356658,2,0 days 04:00:00
16,1,23.29968034862234,551.0478779280611,3578,0.65,14,2019-11-01 17:00:00,2019-11-01 17:00:00,23.29968034862234,551.0478779280611,44.63963849524003,14.30463495009332,3,0 days 00:00:00
17,1,24.06059904300023,560.3990012421687,3580,0.65,15,2019-11-01 18:00:00,2019-11-01 18:00:00,24.06059904300023,560.3990012421687,44.64419879563442,14.360713650627698,3,0 days 01:00:00
22,1,41.50164957389727,118.32394313616722,16465,0.65,16,2019-11-01 23:00:00,2019-11-01 23:00:00,41.50164957389727,118.32394313616722,44.748725639569585,11.70958886438481,4,0 days 00:00:00
