Frame 11, cell 1 moved from (x: 63.751117114818044, y:546.9770009269282 ) to (x: 80.86274503422737, y:531.596111192386 )
Frame 12, cell 2 moved from (x: 162.52803029257575, y:238.09021434563692 ) to (x: 176.60277795098895, y:225.54044523862822 )
Frame 12, cell 1 moved from (x: 80.86274503422737, y:531.596111192386 ) to (x: 133.53082499503327, y:506.70588681966683 )
Frame 13, cell 2 moved from (x: 176.60277795098895, y:225.54044523862822 ) to (x: 176.24278930983894, y:219.88586094337657 )
Frame 14, cell 3 moved from (x: 228.68228700003166, y:182.64657470289987 ) to (x: 200.32853510684467, y:190.24016686320007 )
Frame 15, cell 3 moved from (x: 200.32853510684467, y:190.24016686320007 ) to (x: 212.71064238513222, y:183.03074527950926 )
Frame 16, cell 4 moved from (x: 129.87136821078255, y:5.76542728025423 ) to (x: 152.65372632218643, y:35.99877116148205 )
Frame 16, cell 3 moved from (x: 212.71064238513222, y:183.03074527950926 ) to (x: 180.50581529075592, y:182.50669404795627 )
Frame 17, cell 4 moved from (x: 152.65372632218643, y:35.99877116148205 ) to (x: 205.07481809872903, y:29.726385333943828 )
Frame 18, cell 6 moved from (x: 21.172514791442975, y:14.10888883305586 ) to (x: 127.97879205823989, y:22.609939834364926 )
Frame 18, cell 7 moved from (x: 405.4701645030539, y:515.9633992511701 ) to (x: 476.2587631295423, y:525.6373298295947 )
Frame 19, cell 7 moved from (x: 476.2587631295423, y:525.6373298295947 ) to (x: 461.88168789819287, y:498.5009694575513 )
Frame 20, cell 11 moved from (x: 160.2863117898106, y:193.0886554530832 ) to (x: 159.9329721428188, y:192.627531988915 )
Frame 20, cell 7 moved from (x: 461.88168789819287, y:498.5009694575513 ) to (x: 493.3326464847891, y:499.0357983367616 )
Frame 21, cell 11 moved from (x: 159.9329721428188, y:192.627531988915 ) to (x: 168.77272011398927, y:192.41442899129802 )
Frame 21, cell 7 moved from (x: 493.3326464847891, y:499.0357983367616 ) to (x: 559.541252753355, y:494.66960528862256 )
Frame 22, cell 10 moved from (x: 36.37384277489754, y:16.979113825237402 ) to (x: 13.349105084923021, y:60.98720538698159 )
Frame 22, cell 12 moved from (x: 504.98675963227544, y:341.71085549911857 ) to (x: 594.2822456425237, y:352.99882083050596 )
Frame 22, cell 7 moved from (x: 559.541252753355, y:494.66960528862256 ) to (x: 539.2507890746193, y:501.8256752104862 )
Frame 23, cell 10 moved from (x: 13.349105084923021, y:60.98720538698159 ) to (x: 66.20077577161541, y:44.86651403106729 )
Frame 23, cell 7 moved from (x: 539.2507890746193, y:501.8256752104862 ) to (x: 491.49827460278135, y:548.5613471177359 )
Frame 24, cell 10 moved from (x: 66.20077577161541, y:44.86651403106729 ) to (x: 188.48858350254122, y:39.425513517263845 )
Frame 24, cell 13 moved from (x: 334.9347854775155, y:32.50505016436303 ) to (x: 444.5384115383483, y:20.65172200756698 )
Frame 24, cell 14 moved from (x: 631.2338539500989, y:520.2502888509222 ) to (x: 562.149420167719, y:518.5769435302722 )
Frame 25, cell 13 moved from (x: 444.5384115383483, y:20.65172200756698 ) to (x: 626.6455448246061, y:10.069177343770345 )
Frame 27, cell 16 moved from (x: 82.12975084885721, y:27.602240819166227 ) to (x: 100.6387638572348, y:11.973869042101882 )
Frame 27, cell 17 moved from (x: 141.75941842681056, y:410.10284187506375 ) to (x: 137.37663583459354, y:400.8948796280982 )
Frame 27, cell 18 moved from (x: 566.5561836801224, y:532.8479133449322 ) to (x: 548.0711653234363, y:554.725789309093 )
Frame 28, cell 16 moved from (x: 100.6387638572348, y:11.973869042101882 ) to (x: 200.53814800006933, y:27.948427913305768 )
Frame 28, cell 17 moved from (x: 137.37663583459354, y:400.8948796280982 ) to (x: 221.86202980445037, y:394.91911064428297 )
Frame 28, cell 18 moved from (x: 548.0711653234363, y:554.725789309093 ) to (x: 576.1222405143538, y:524.1024482045855 )
Frame 29, cell 16 moved from (x: 200.53814800006933, y:27.948427913305768 ) to (x: 325.0570848462712, y:24.981665559817177 )
Frame 29, cell 18 moved from (x: 576.1222405143538, y:524.1024482045855 ) to (x: 616.5045937039164, y:504.5529759891448 )
Frame 30, cell 16 moved from (x: 325.0570848462712, y:24.981665559817177 ) to (x: 427.7194790191139, y:22.764827419755147 )
Frame 30, cell 22 moved from (x: 11.333552943143022, y:81.15642233381752 ) to (x: 135.46030707276566, y:73.36114077442856 )
Frame 30, cell 19 moved from (x: 130.199885717338, y:83.69895567062237 ) to (x: 234.09179877911654, y:69.88988638032086 )
Frame 30, cell 23 moved from (x: 505.26378276083847, y:562.4529510282828 ) to (x: 577.4422803341464, y:535.6995081398175 )
Frame 31, cell 16 moved from (x: 427.7194790191139, y:22.764827419755147 ) to (x: 494.338466510901, y:8.896289484632733 )
Frame 31, cell 23 moved from (x: 577.4422803341464, y:535.6995081398175 ) to (x: 622.0995323675254, y:515.5967839483046 )
Frame 32, cell 16 moved from (x: 494.338466510901, y:8.896289484632733 ) to (x: 551.6939458253757, y:11.970968419012953 )
Frame 32, cell 23 moved from (x: 622.0995323675254, y:515.5967839483046 ) to (x: 619.6119152914061, y:514.8875294040813 )
Frame 33, cell 22 moved from (x: 227.66325674423223, y:43.06609628446421 ) to (x: 302.86840338079253, y:37.10569737885566 )
Frame 33, cell 24 moved from (x: 235.48533240387073, y:377.43669145962036 ) to (x: 304.5799639359141, y:425.0747486502124 )
Frame 34, cell 28 moved from (x: 82.40579295755961, y:252.4586447387343 ) to (x: 245.10630495680218, y:307.74055364191383 )
Frame 35, cell 29 moved from (x: 258.08694908730877, y:461.1260924441904 ) to (x: 491.7466217247943, y:534.5729789410661 )
Frame 37, cell 35 moved from (x: 64.05185926811166, y:30.27177071281442 ) to (x: 116.11474914467077, y:25.41910620730191 )
Frame 38, cell 35 moved from (x: 116.11474914467077, y:25.41910620730191 ) to (x: 255.31912359873076, y:11.092279671325187 )
Frame 38, cell 34 moved from (x: 204.66738665457655, y:445.9180864524932 ) to (x: 290.3989234314878, y:404.5086185728755 )
Frame 38, cell 24 moved from (x: 635.7767624653528, y:471.7505910273772 ) to (x: 597.3852033377334, y:490.99903222941253 )
Frame 39, cell 24 moved from (x: 597.3852033377334, y:490.99903222941253 ) to (x: 558.4019521566589, y:420.2566337832388 )
