frame,idx,hdim_1,hdim_2,num,threshold_value,feature,time,timestr,y,x,latitude,longitude,cell,time_cell
15,1,107.28530711461681,56.0001472991517,18808,0.4,1,2019-11-01 16:00:00,2019-11-01 16:00:00,107.28530711461681,56.0001472991517,45.14297701181705,11.335832967311253,1,0 days 00:00:00
16,1,134.55737499318164,102.35889163639682,44217,0.4,2,2019-11-01 17:00:00,2019-11-01 17:00:00,134.55737499318164,102.35889163639682,45.30642262410297,11.613846426605079,1,0 days 01:00:00
17,1,173.65080838789737,129.00640352117185,87231,0.4,3,2019-11-01 18:00:00,2019-11-01 18:00:00,173.65080838789737,129.00640352117185,45.54071546122884,11.773651595329365,1,0 days 02:00:00
18,1,191.3088429308849,243.8789491413222,124180,0.4,4,2019-11-01 19:00:00,2019-11-01 19:00:00,191.3088429308849,243.8789491413222,45.64654272304468,12.462542423636114,1,0 days 03:00:00
18,3,112.6281857856949,637.4129191136907,636,0.4,5,2019-11-01 19:00:00,2019-11-01 19:00:00,112.6281857856949,637.4129191136907,45.17499768878413,14.822566231566363,2,0 days 00:00:00
18,4,193.6097666524212,432.23965007322806,319,0.4,6,2019-11-01 19:00:00,2019-11-01 19:00:00,193.6097666524212,432.23965007322806,45.660332505622385,13.592141829524605,3,0 days 00:00:00
18,7,307.3805557523615,100.13343921774968,358,0.4,7,2019-11-01 19:00:00,2019-11-01 19:00:00,307.3805557523615,100.13343921774968,46.34217798824189,11.600500385113943,4,0 days 00:00:00
19,1,12.125929155115642,335.93844979173366,973,0.4,8,2019-11-01 20:00:00,2019-11-01 20:00:00,12.125929155115642,335.93844979173366,44.57267252062141,13.014623387056876,5,0 days 00:00:00
19,2,177.66831080621742,388.88725366347865,85481,0.4,9,2019-11-01 20:00:00,2019-11-01 20:00:00,177.66831080621742,388.88725366347865,45.56479295859891,13.332157443259241,1,0 days 04:00:00
19,3,74.78401064931317,14.04766970152606,3152,0.4,10,2019-11-01 20:00:00,2019-11-01 20:00:00,74.78401064931317,14.04766970152606,44.94819184464485,11.084243896261029,6,0 days 00:00:00
19,5,149.04350896576153,231.7126668551425,355,0.4,11,2019-11-01 20:00:00,2019-11-01 20:00:00,149.04350896576153,231.7126668551425,45.39324020784276,12.389581210525591,7,0 days 00:00:00
19,6,440.465801547781,221.93464013370817,28895,0.4,12,2019-11-01 20:00:00,2019-11-01 20:00:00,440.465801547781,221.93464013370817,47.13977792023499,12.330942369617441,8,0 days 00:00:00
20,1,204.67732370253577,525.3128588297567,68835,0.4,13,2019-11-01 21:00:00,2019-11-01 21:00:00,204.67732370253577,525.3128588297567,45.7266620427378,14.15030200197755,1,0 days 05:00:00
20,2,106.53931721208289,83.25744205242587,16487,0.4,14,2019-11-01 21:00:00,2019-11-01 21:00:00,106.53931721208289,83.25744205242587,45.138506181921734,11.499295004812149,6,0 days 01:00:00
20,4,479.08038929767235,298.5465144376029,16668,0.4,15,2019-11-01 21:00:00,2019-11-01 21:00:00,479.08038929767235,298.5465144376029,47.3712009632566,12.790383894678277,8,0 days 01:00:00
21,1,92.6098413182608,95.46981759742364,2264,0.4,16,2019-11-01 22:00:00,2019-11-01 22:00:00,92.6098413182608,95.46981759742364,45.05502473392794,11.57253263926491,9,0 days 00:00:00
21,2,229.30665469766112,604.2336810415951,33917,0.4,17,2019-11-01 22:00:00,2019-11-01 22:00:00,229.30665469766112,604.2336810415951,45.87426933466064,14.62359029110402,1,0 days 06:00:00
21,3,173.48987633889084,141.10461852183937,654,0.4,18,2019-11-01 22:00:00,2019-11-01 22:00:00,173.48987633889084,141.10461852183937,45.53975097120911,11.846204608826623,6,0 days 02:00:00
21,4,191.43161192718162,252.0138641679628,2595,0.4,19,2019-11-01 22:00:00,2019-11-01 22:00:00,191.43161192718162,252.0138641679628,45.64727849613893,12.511327521247154,10,0 days 00:00:00
21,5,472.05616409127794,512.5227570601742,3326,0.4,20,2019-11-01 22:00:00,2019-11-01 22:00:00,472.05616409127794,512.5227570601742,47.32910372314978,14.0735997424898,11,0 days 00:00:00
21,6,540.9850321867192,319.4147261365371,13207,0.4,21,2019-11-01 22:00:00,2019-11-01 22:00:00,540.9850321867192,319.4147261365371,47.742204816187524,12.91553059152346,8,0 days 02:00:00
22,4,201.14251110233644,330.2407683720352,749,0.4,22,2019-11-01 23:00:00,2019-11-01 23:00:00,201.14251110233644,330.2407683720352,45.70547737818181,12.980454383040692,10,0 days 01:00:00
22,6,447.88255771229865,569.1122635605711,27838,0.4,23,2019-11-01 23:00:00,2019-11-01 23:00:00,447.88255771229865,569.1122635605711,47.184227657522335,14.41296709781452,11,0 days 01:00:00
22,7,554.4249909735314,57.782386229001986,5143,0.4,24,2019-11-01 23:00:00,2019-11-01 23:00:00,554.4249909735314,57.782386229001986,47.822752514396164,11.346521056845589,12,0 days 00:00:00
23,1,27.133840325338316,22.997251922304677,1775,0.4,25,2019-11-02 00:00:00,2019-11-02 00:00:00,27.133840325338316,22.997251922304677,44.662617193730625,11.137914554256701,13,0 days 00:00:00
23,2,17.377442701701085,151.6676224622843,2896,0.4,26,2019-11-02 00:00:00,2019-11-02 00:00:00,17.377442701701085,151.6676224622843,44.604145632630065,11.90955095929406,14,0 days 00:00:00
23,3,204.62997086305046,14.561458444414354,1119,0.4,27,2019-11-02 00:00:00,2019-11-02 00:00:00,204.62997086305046,14.561458444414354,45.72637825003541,11.087325088122425,15,0 days 00:00:00
23,4,225.14187736615685,506.3951026533335,1375,0.4,28,2019-11-02 00:00:00,2019-11-02 00:00:00,225.14187736615685,506.3951026533335,45.84930919654375,14.036852189825089,10,0 days 02:00:00
23,6,279.9329883900815,648.028012963177,2088,0.4,29,2019-11-02 00:00:00,2019-11-02 00:00:00,279.9329883900815,648.028012963177,46.177680581104944,14.886224965296414,16,0 days 00:00:00
23,7,454.1556121113523,111.5058176731796,33308,0.4,30,2019-11-02 00:00:00,2019-11-02 00:00:00,454.1556121113523,111.5058176731796,47.22182301779063,11.668700555761198,17,0 days 00:00:00
23,8,341.99010090466396,660.9241013011931,345,0.4,31,2019-11-02 00:00:00,2019-11-02 00:00:00,341.99010090466396,660.9241013011931,46.549598207476585,14.963562826393963,11,0 days 02:00:00
23,9,540.2327909256961,616.6024455553261,7800,0.4,32,2019-11-02 00:00:00,2019-11-02 00:00:00,540.2327909256961,616.6024455553261,47.7376965209588,14.697765790436737,18,0 days 00:00:00
24,1,32.11827642999485,105.77050137926419,7838,0.4,33,2019-11-02 01:00:00,2019-11-02 01:00:00,32.11827642999485,105.77050137926419,44.69248967038525,11.634305855347911,13,0 days 01:00:00
24,2,15.498213550965628,261.65769768566315,2513,0.4,34,2019-11-02 01:00:00,2019-11-02 01:00:00,15.498213550965628,261.65769768566315,44.59288312915818,12.569161605311324,14,0 days 01:00:00
24,3,100.207369148194,104.5767274021319,374,0.4,35,2019-11-02 01:00:00,2019-11-02 01:00:00,100.207369148194,104.5767274021319,45.10055786304567,11.627146791017282,19,0 days 00:00:00
24,5,154.24443543150068,53.90587724427966,965,0.4,36,2019-11-02 01:00:00,2019-11-02 01:00:00,154.24443543150068,53.90587724427966,45.42441014385317,11.323273626652352,20,0 days 00:00:00
24,6,194.5063782520288,14.63624068673316,1079,0.4,37,2019-11-02 01:00:00,2019-11-02 01:00:00,194.5063782520288,14.63624068673316,45.66570603404469,11.087773557341729,21,0 days 00:00:00
24,7,212.5865326199883,524.9262040866253,1732,0.4,38,2019-11-02 01:00:00,2019-11-02 01:00:00,212.5865326199883,524.9262040866253,45.7740631235787,14.1479832329033,22,0 days 00:00:00
24,9,432.20647191795814,142.27775586889268,54605,0.4,39,2019-11-02 01:00:00,2019-11-02 01:00:00,432.20647191795814,142.27775586889268,47.09027851320694,11.85323991525573,23,0 days 00:00:00
25,1,75.16044766370338,62.4699870255898,9451,0.4,40,2019-11-02 02:00:00,2019-11-02 02:00:00,75.16044766370338,62.4699870255898,44.95044788839549,11.374632605850614,24,0 days 00:00:00
25,3,167.2147337137521,57.15120279129708,450,0.4,41,2019-11-02 02:00:00,2019-11-02 02:00:00,167.2147337137521,57.15120279129708,45.50214309588721,11.342735848823372,20,0 days 01:00:00
25,4,199.01568325173707,28.584408738807557,2037,0.4,42,2019-11-02 02:00:00,2019-11-02 02:00:00,199.01568325173707,28.584408738807557,45.692730978392255,11.171420742061814,21,0 days 01:00:00
25,5,242.8761146239607,10.936786131045224,357,0.4,43,2019-11-02 02:00:00,2019-11-02 02:00:00,242.8761146239607,10.936786131045224,45.9555931527121,11.065587922824859,25,0 days 00:00:00
26,1,60.93868948925498,30.143334112776813,4488,0.4,44,2019-11-02 03:00:00,2019-11-02 03:00:00,60.93868948925498,30.143334112776813,44.86521474865136,11.180769619866728,24,0 days 01:00:00
26,2,60.90630731287455,164.04466389694593,11055,0.4,45,2019-11-02 03:00:00,2019-11-02 03:00:00,60.90630731287455,164.04466389694593,44.8650206773888,11.98377609533401,13,0 days 03:00:00
26,3,131.9458978071867,118.67461395597654,320,0.4,46,2019-11-02 03:00:00,2019-11-02 03:00:00,131.9458978071867,118.67461395597654,45.29077164781704,11.71169183781695,19,0 days 02:00:00
26,4,193.57964233239127,80.28556173904705,9784,0.4,47,2019-11-02 03:00:00,2019-11-02 03:00:00,193.57964233239127,80.28556173904705,45.66015196603317,11.481472634117225,20,0 days 02:00:00
26,5,148.14731870325227,226.2263639716862,396,0.4,48,2019-11-02 03:00:00,2019-11-02 03:00:00,148.14731870325227,226.2263639716862,45.38786920455716,12.356679843908163,26,0 days 00:00:00
26,8,381.37919357295857,362.696609946993,1914,0.4,49,2019-11-02 03:00:00,2019-11-02 03:00:00,381.37919357295857,362.696609946993,46.7856629751804,13.175092113625148,27,0 days 00:00:00
26,9,387.55566876707104,20.230806334770108,614,0.4,50,2019-11-02 03:00:00,2019-11-02 03:00:00,387.55566876707104,20.230806334770108,46.82267952172046,11.12132417592066,28,0 days 00:00:00
27,1,193.30922418270632,185.38813295162151,46792,0.4,51,2019-11-02 04:00:00,2019-11-02 04:00:00,193.30922418270632,185.38813295162151,45.658531309314164,12.1117729112541,19,0 days 03:00:00
27,2,171.48742818814966,62.21312344767334,385,0.4,52,2019-11-02 04:00:00,2019-11-02 04:00:00,171.48742818814966,62.21312344767334,45.527749997702955,11.373092194588747,20,0 days 03:00:00
27,4,573.3497343868214,154.13939286501443,1006,0.4,53,2019-11-02 04:00:00,2019-11-02 04:00:00,573.3497343868214,154.13939286501443,47.93617135334568,11.924374170105034,29,0 days 00:00:00
27,5,579.3669388590027,302.5004098254578,543,0.4,54,2019-11-02 04:00:00,2019-11-02 04:00:00,579.3669388590027,302.5004098254578,47.9722333664495,12.814095411247123,30,0 days 00:00:00
28,1,82.17080810956118,66.72460269013341,13563,0.4,55,2019-11-02 05:00:00,2019-11-02 05:00:00,82.17080810956118,66.72460269013341,44.99246203490319,11.400147542369615,24,0 days 03:00:00
28,2,68.31687060801148,630.9858998900191,7439,0.4,56,2019-11-02 05:00:00,2019-11-02 05:00:00,68.31687060801148,630.9858998900191,44.90943329987678,14.784023387646291,31,0 days 00:00:00
28,3,193.40964913074046,299.0156818197861,31423,0.4,57,2019-11-02 05:00:00,2019-11-02 05:00:00,193.40964913074046,299.0156818197861,45.659133171160256,12.79319749217263,13,0 days 05:00:00
28,4,154.22817659280778,49.4705623940805,1852,0.4,58,2019-11-02 05:00:00,2019-11-02 05:00:00,154.22817659280778,49.4705623940805,45.424312702182924,11.29667503684606,20,0 days 04:00:00
28,6,175.63401031817733,135.87705641152758,684,0.4,59,2019-11-02 05:00:00,2019-11-02 05:00:00,175.63401031817733,135.87705641152758,45.55260108923565,11.814854911013658,32,0 days 00:00:00
28,7,237.4535226407267,18.9366683554905,2257,0.4,60,2019-11-02 05:00:00,2019-11-02 05:00:00,237.4535226407267,18.9366683554905,45.923094741853674,11.113563228518682,33,0 days 00:00:00
28,8,206.6985062836846,73.09009738125043,791,0.4,61,2019-11-02 05:00:00,2019-11-02 05:00:00,206.6985062836846,73.09009738125043,45.738775294508386,11.438321423575715,34,0 days 00:00:00
28,10,460.870438831581,276.66471877684234,92828,0.4,62,2019-11-02 05:00:00,2019-11-02 05:00:00,460.870438831581,276.66471877684234,47.26206598614817,12.659158733294408,35,0 days 00:00:00
28,11,447.06202459913743,541.6822934895383,541,0.4,63,2019-11-02 05:00:00,2019-11-02 05:00:00,447.06202459913743,541.6822934895383,47.17931007893319,14.248469526174144,27,0 days 02:00:00
29,1,105.16129313876519,115.37883865392288,32279,0.4,64,2019-11-02 06:00:00,2019-11-02 06:00:00,105.16129313876519,115.37883865392288,45.13024747600288,11.691927068389342,32,0 days 01:00:00
29,3,220.6585787651777,244.50586855279826,8999,0.4,65,2019-11-02 06:00:00,2019-11-02 06:00:00,220.6585787651777,244.50586855279826,45.822440112462544,12.466302060286647,13,0 days 06:00:00
29,4,165.15094596667709,490.06201414702906,919,0.4,66,2019-11-02 06:00:00,2019-11-02 06:00:00,165.15094596667709,490.06201414702906,45.48977450493728,13.938902633565393,36,0 days 00:00:00
29,8,249.06461234588843,22.237665925042233,1071,0.4,67,2019-11-02 06:00:00,2019-11-02 06:00:00,249.06461234588843,22.237665925042233,45.99268175207295,11.133359315892307,33,0 days 01:00:00
29,10,278.61893615376243,148.4625463044539,1517,0.4,68,2019-11-02 06:00:00,2019-11-02 06:00:00,278.61893615376243,148.4625463044539,46.169805268044804,11.890330112770338,37,0 days 00:00:00
29,11,418.78802560547336,376.9478707254477,3936,0.4,69,2019-11-02 06:00:00,2019-11-02 06:00:00,418.78802560547336,376.9478707254477,47.00985974249856,13.260556945879745,38,0 days 00:00:00
29,12,451.0411013544237,657.8381426425034,661,0.4,70,2019-11-02 06:00:00,2019-11-02 06:00:00,451.0411013544237,657.8381426425034,47.20315728551453,14.945056327691175,39,0 days 00:00:00
29,13,563.0204175192093,580.7463310729537,4612,0.4,71,2019-11-02 06:00:00,2019-11-02 06:00:00,563.0204175192093,580.7463310729537,47.87426620088567,14.482736618128659,40,0 days 00:00:00
30,1,173.54016609106534,150.35053071218718,80020,0.4,72,2019-11-02 07:00:00,2019-11-02 07:00:00,173.54016609106534,150.35053071218718,45.54005236527179,11.901652358094076,13,0 days 07:00:00
30,2,139.9417817984843,299.2459660120555,1561,0.4,73,2019-11-02 07:00:00,2019-11-02 07:00:00,139.9417817984843,299.2459660120555,45.338692185436116,12.794578506818924,41,0 days 00:00:00
