Frame 15, cell 2 moved from (x: 26.12200371971887, y:57.56490021534379 ) to (x: 49.566137898120715, y:87.36690741825589 )
Frame 16, cell 2 moved from (x: 49.566137898120715, y:87.36690741825589 ) to (x: 69.96160994314455, y:146.77959826097103 )
Frame 17, cell 2 moved from (x: 69.96160994314455, y:146.77959826097103 ) to (x: 83.11831088455988, y:289.6428577851561 )
Frame 17, cell 3 moved from (x: 179.05895291005885, y:112.13668581385669 ) to (x: 224.27256313317812, y:102.57300795485617 )
Frame 18, cell 3 moved from (x: 224.27256313317812, y:102.57300795485617 ) to (x: 216.50158444374534, y:63.077607726232465 )
Frame 18, cell 2 moved from (x: 83.11831088455988, y:289.6428577851561 ) to (x: 22.056456741999572, y:482.51086041735806 )
Frame 19, cell 6 moved from (x: 94.151220567439, y:114.40991574677629 ) to (x: 21.192436294237954, y:67.0672137334657 )
Frame 20, cell 8 moved from (x: 353.58656847153884, y:245.3898981345909 ) to (x: 355.958204518385, y:239.4521910905406 )
Frame 21, cell 10 moved from (x: 76.1710619348114, y:120.09880719055637 ) to (x: 97.39472653770314, y:88.57631192509277 )
Frame 21, cell 11 moved from (x: 541.383065699686, y:267.21894608643646 ) to (x: 509.8154756128481, y:346.1336139748365 )
Frame 22, cell 11 moved from (x: 509.8154756128481, y:346.1336139748365 ) to (x: 559.5456678854874, y:418.85044836879797 )
Frame 22, cell 10 moved from (x: 97.39472653770314, y:88.57631192509277 ) to (x: 40.34511113226514, y:18.15638156846954 )
Frame 22, cell 13 moved from (x: 259.8914512109614, y:183.84692147554054 ) to (x: 333.71439058779475, y:203.6589536119418 )
Frame 22, cell 14 moved from (x: 36.366900833386566, y:518.1551509156495 ) to (x: 60.40681455954314, y:508.44200276027885 )
Frame 23, cell 10 moved from (x: 40.34511113226514, y:18.15638156846954 ) to (x: 22.6219465464848, y:29.678803295836126 )
Frame 23, cell 11 moved from (x: 559.5456678854874, y:418.85044836879797 ) to (x: 609.4629987243227, y:547.5857434843786 )
Frame 23, cell 14 moved from (x: 60.40681455954314, y:508.44200276027885 ) to (x: 110.79602754175554, y:452.97776285330536 )
Frame 24, cell 14 moved from (x: 110.79602754175554, y:452.97776285330536 ) to (x: 153.2094711359386, y:402.37954920157546 )
Frame 26, cell 21 moved from (x: 35.27711017432575, y:72.86489912577295 ) to (x: 29.99846023120215, y:77.48065495119046 )
Frame 26, cell 16 moved from (x: 115.69131746425134, y:135.77776124388427 ) to (x: 141.3997706049136, y:61.624522390981376 )
Frame 26, cell 22 moved from (x: 21.905469536888617, y:206.0067199685014 ) to (x: 49.718287842155846, y:208.43311640891002 )
Frame 28, cell 23 moved from (x: 200.06015132732796, y:175.48749415764127 ) to (x: 285.26995068928437, y:181.55479770688254 )
Frame 29, cell 21 moved from (x: 46.21564970655468, y:62.43842757210584 ) to (x: 82.43956517949925, y:69.4726913929822 )
Frame 29, cell 22 moved from (x: 18.3525742684842, y:248.8893600169618 ) to (x: 150.73438213431234, y:278.31858633667844 )
Frame 30, cell 21 moved from (x: 82.43956517949925, y:69.4726913929822 ) to (x: 176.1545910386942, y:41.06632926364686 )
Frame 30, cell 27 moved from (x: 12.711558023925013, y:200.82958994266292 ) to (x: 12.033801421893276, y:196.33303635857138 )
Frame 30, cell 28 moved from (x: 19.900409985958074, y:246.51753356856702 ) to (x: 188.42083992971374, y:334.5974714568024 )
Frame 31, cell 21 moved from (x: 176.1545910386942, y:41.06632926364686 ) to (x: 291.46286732291475, y:35.927037276642636 )
Frame 31, cell 31 moved from (x: 114.98315992694724, y:212.05641314719946 ) to (x: 137.83472959122713, y:182.33896884401648 )
Frame 32, cell 37 moved from (x: 523.8510988009549, y:294.4863051349026 ) to (x: 636.4454095899607, y:275.94979137302306 )
Frame 32, cell 39 moved from (x: 220.26432665272125, y:281.6875152281793 ) to (x: 261.6794663075481, y:154.77017841481918 )
Frame 32, cell 40 moved from (x: 222.74325723887955, y:324.70269148784104 ) to (x: 333.04374269629193, y:287.8338075656196 )
Frame 32, cell 22 moved from (x: 536.582343477734, y:439.3422819259234 ) to (x: 612.8353564308987, y:389.20878081657577 )
