frame,idx,hdim_1,hdim_2,num,threshold_value,feature,time,timestr,y,x,latitude,longitude,cell,time_cell
0,1,175.81180254421875,109.4870126545872,71345,0.5,1,2019-11-01 01:00:00,2019-11-01 01:00:00,175.81180254421875,109.4870126545872,45.55366662483692,11.656593779038003,1,0 days 00:00:00
0,3,483.48552981770524,402.37184907368646,3289,0.5,2,2019-11-01 01:00:00,2019-11-01 01:00:00,483.48552981770524,402.37184907368646,47.39760163418145,13.413024582151042,2,0 days 00:00:00
1,1,223.67459937581597,131.25922859360236,91538,0.5,3,2019-11-01 02:00:00,2019-11-01 02:00:00,223.67459937581597,131.25922859360236,45.840515578450955,11.78716179066628,1,0 days 01:00:00
1,2,537.097164590136,492.1766199529988,19805,0.5,4,2019-11-01 02:00:00,2019-11-01 02:00:00,537.097164590136,492.1766199529988,47.718904239838146,13.951583927754115,3,0 days 00:00:00
2,1,234.49593243206814,144.63751730837618,92494,0.5,5,2019-11-01 03:00:00,2019-11-01 03:00:00,234.49593243206814,144.63751730837618,45.905369458068904,11.867391408146183,1,0 days 02:00:00
2,2,564.8488640876247,477.9477852909595,10862,0.5,6,2019-11-01 03:00:00,2019-11-01 03:00:00,564.8488640876247,477.9477852909595,47.885224356689534,13.866253584953279,2,0 days 02:00:00
3,1,116.58554495005464,94.6103987626383,42584,0.5,7,2019-11-01 04:00:00,2019-11-01 04:00:00,116.58554495005464,94.6103987626383,45.19871473857053,11.567378703224218,4,0 days 00:00:00
4,1,63.3716023670771,95.43454758117124,25172,0.5,8,2019-11-01 05:00:00,2019-11-01 05:00:00,63.3716023670771,95.43454758117124,44.87979556213145,11.572321124924567,4,0 days 01:00:00
5,1,64.89387898856805,109.38578559822074,29597,0.5,9,2019-11-01 06:00:00,2019-11-01 06:00:00,64.89387898856805,109.38578559822074,44.8889187953082,11.655986720229208,4,0 days 02:00:00
6,1,57.54894219486106,111.44231542831574,27587,0.5,10,2019-11-01 07:00:00,2019-11-01 07:00:00,57.54894219486106,111.44231542831574,44.84489948233222,11.668319732703543,4,0 days 03:00:00
6,2,292.90301836784784,175.08063338958772,75353,0.5,11,2019-11-01 07:00:00,2019-11-01 07:00:00,292.90301836784784,175.08063338958772,46.25541192514977,12.049958820927063,5,0 days 00:00:00
7,1,64.68170810228011,109.1047585013338,30451,0.5,12,2019-11-01 08:00:00,2019-11-01 08:00:00,64.68170810228011,109.1047585013338,44.88764722321573,11.654301400307848,4,0 days 04:00:00
7,2,236.74355930163685,116.20363752730961,31183,0.5,13,2019-11-01 08:00:00,2019-11-01 08:00:00,236.74355930163685,116.20363752730961,45.918839824581724,11.696873388469623,5,0 days 01:00:00
8,1,194.739541738591,152.10227171815112,119291,0.5,14,2019-11-01 09:00:00,2019-11-01 09:00:00,194.739541738591,152.10227171815112,45.66710341795388,11.91215755153314,5,0 days 02:00:00
9,1,200.91532762161322,197.70814918251574,137315,0.5,15,2019-11-01 10:00:00,2019-11-01 10:00:00,200.91532762161322,197.70814918251574,45.70411583334871,12.185656067061565,5,0 days 03:00:00
10,1,173.26169907280655,190.11853397493599,123078,0.5,16,2019-11-01 11:00:00,2019-11-01 11:00:00,173.26169907280655,190.11853397493599,45.53838347047059,12.140141133282974,5,0 days 04:00:00
11,1,32.97646712056047,111.175646928487,15426,0.5,17,2019-11-01 12:00:00,2019-11-01 12:00:00,32.97646712056047,111.175646928487,44.6976329365102,11.666720521310268,6,0 days 00:00:00
11,2,236.0455734349711,188.9185946048657,67156,0.5,18,2019-11-01 12:00:00,2019-11-01 12:00:00,236.0455734349711,188.9185946048657,45.914656690106845,12.132945095081652,5,0 days 05:00:00
12,1,28.933192976294503,171.61117182448527,18048,0.5,19,2019-11-01 13:00:00,2019-11-01 13:00:00,28.933192976294503,171.61117182448527,44.67340098530313,12.02915245471955,6,0 days 01:00:00
12,3,362.60451809543866,204.3832010300177,116731,0.5,20,2019-11-01 13:00:00,2019-11-01 13:00:00,362.60451809543866,204.3832010300177,46.67314351598293,12.225686362998607,5,0 days 06:00:00
13,1,30.8425839027685,130.4439519177301,16980,0.5,21,2019-11-01 14:00:00,2019-11-01 14:00:00,30.8425839027685,130.4439519177301,44.68484425284193,11.782272575218773,7,0 days 00:00:00
13,2,301.09037697594744,170.33989409198242,75568,0.5,22,2019-11-01 14:00:00,2019-11-01 14:00:00,301.09037697594744,170.33989409198242,46.30447999899968,12.021528600251767,8,0 days 00:00:00
13,4,556.6244026651987,384.8356427241164,10959,0.5,23,2019-11-01 14:00:00,2019-11-01 14:00:00,556.6244026651987,384.8356427241164,47.835933920082525,13.307859926381507,9,0 days 00:00:00
14,1,28.644219849149312,116.336385838592,13604,0.5,24,2019-11-01 15:00:00,2019-11-01 15:00:00,28.644219849149312,116.336385838592,44.671669125808265,11.697669480291406,7,0 days 01:00:00
14,2,217.1093301133026,158.07585183658347,32439,0.5,25,2019-11-01 15:00:00,2019-11-01 15:00:00,217.1093301133026,158.07585183658347,45.80116893047355,11.947981120459271,8,0 days 01:00:00
14,3,434.6295209250701,255.8880972229382,8525,0.5,26,2019-11-01 15:00:00,2019-11-01 15:00:00,434.6295209250701,255.8880972229382,47.10480021102354,12.534561302686285,5,0 days 08:00:00
15,1,29.82606273468559,136.49033019915603,17230,0.5,27,2019-11-01 16:00:00,2019-11-01 16:00:00,29.82606273468559,136.49033019915603,44.67875208830719,11.818532714837518,7,0 days 02:00:00
15,2,213.97845006392163,144.26665569000062,28412,0.5,28,2019-11-01 16:00:00,2019-11-01 16:00:00,213.97845006392163,144.26665569000062,45.78240509456117,11.865167350464771,8,0 days 02:00:00
15,4,508.2328218899137,275.01007414241445,72336,0.5,29,2019-11-01 16:00:00,2019-11-01 16:00:00,508.2328218899137,275.01007414241445,47.5459158846142,12.649235826941018,10,0 days 00:00:00
16,1,36.38974244084993,146.0629435088499,22473,0.5,30,2019-11-01 17:00:00,2019-11-01 17:00:00,36.38974244084993,146.0629435088499,44.718089209833856,11.875939691207495,7,0 days 03:00:00
16,3,207.9862133659338,148.81361683525543,25409,0.5,31,2019-11-01 17:00:00,2019-11-01 17:00:00,207.9862133659338,148.81361683525543,45.74649271709036,11.892435483269898,8,0 days 03:00:00
16,5,492.0628289467597,383.9232008099724,71052,0.5,32,2019-11-01 17:00:00,2019-11-01 17:00:00,492.0628289467597,383.9232008099724,47.44900668033161,13.302388010854408,11,0 days 00:00:00
17,1,51.386186002176025,132.55349332764735,28623,0.5,33,2019-11-01 18:00:00,2019-11-01 18:00:00,51.386186002176025,132.55349332764735,44.80796515583496,11.794923498216775,7,0 days 04:00:00
17,2,206.00870090718436,163.9640809938665,25791,0.5,34,2019-11-01 18:00:00,2019-11-01 18:00:00,206.00870090718436,163.9640809938665,45.73464118694374,11.983292839543427,8,0 days 04:00:00
17,3,485.3586003371212,456.5883988835901,67153,0.5,35,2019-11-01 18:00:00,2019-11-01 18:00:00,485.3586003371212,456.5883988835901,47.40882722804781,13.738161312645218,11,0 days 01:00:00
18,1,40.899055896498076,113.74535944120518,18054,0.5,36,2019-11-01 19:00:00,2019-11-01 19:00:00,40.899055896498076,113.74535944120518,44.74511420485915,11.68213109110168,7,0 days 05:00:00
18,3,206.96502581388103,202.8280805383928,20859,0.5,37,2019-11-01 19:00:00,2019-11-01 19:00:00,206.96502581388103,202.8280805383928,45.740372586213326,12.216360303078819,8,0 days 05:00:00
19,1,30.48715252576517,278.4598397588379,30190,0.5,38,2019-11-01 20:00:00,2019-11-01 20:00:00,30.48715252576517,278.4598397588379,44.682714099041405,12.66992407651477,12,0 days 00:00:00
19,3,259.8867884264249,332.4240398946449,52829,0.5,39,2019-11-01 20:00:00,2019-11-01 20:00:00,259.8867884264249,332.4240398946449,46.057540684062474,12.993547465635054,13,0 days 00:00:00
