frame,idx,hdim_1,hdim_2,num,threshold_value,feature,time,timestr,y,x,latitude,longitude,cell,time_cell
0,1,158.0551754671468,418.4521435006605,191761,0.6,1,2019-11-01 01:00:00,2019-11-01 01:00:00,158.0551754671468,418.4521435006605,45.447248483107906,13.509458131937995,1,0 days 00:00:00
1,1,171.01004062547162,423.19608024213517,204645,0.6,2,2019-11-01 02:00:00,2019-11-01 02:00:00,171.01004062547162,423.19608024213517,45.52488894210472,13.537907527688967,1,0 days 01:00:00
2,1,184.728966816628,418.8729130642813,224922,0.6,3,2019-11-01 03:00:00,2019-11-01 03:00:00,184.728966816628,418.8729130642813,45.607108534003764,13.511981487641867,1,0 days 02:00:00
3,1,152.48444432240981,447.14303430458915,164861,0.6,4,2019-11-01 04:00:00,2019-11-01 04:00:00,152.48444432240981,447.14303430458915,45.41386225193225,13.681517447103982,1,0 days 03:00:00
4,1,226.96774233024044,427.87342189184074,264294,0.6,5,2019-11-01 05:00:00,2019-11-01 05:00:00,226.96774233024044,427.87342189184074,45.86025188040384,13.565957552574758,2,0 days 00:00:00
5,1,228.88999809243427,437.6277918485935,254830,0.6,6,2019-11-01 06:00:00,2019-11-01 06:00:00,228.88999809243427,437.6277918485935,45.87177224884164,13.624454523829645,2,0 days 01:00:00
6,1,231.8310625060932,457.77363563430197,233036,0.6,7,2019-11-01 07:00:00,2019-11-01 07:00:00,231.8310625060932,457.77363563430197,45.88939849104679,13.745269179216203,2,0 days 02:00:00
7,2,227.79546501851073,492.4704131332745,191827,0.6,8,2019-11-01 08:00:00,2019-11-01 08:00:00,227.79546501851073,492.4704131332745,45.865212547199974,13.9533458058967,2,0 days 03:00:00
8,2,228.84994023623202,489.9782260226429,195182,0.6,9,2019-11-01 09:00:00,2019-11-01 09:00:00,228.84994023623202,489.9782260226429,45.87153217607331,13.938400156057828,2,0 days 04:00:00
9,2,223.17796699127243,522.3403127477295,157196,0.6,10,2019-11-01 10:00:00,2019-11-01 10:00:00,223.17796699127243,522.3403127477295,45.83753918573536,14.132475638667042,2,0 days 05:00:00
10,2,207.96893151681584,532.2500496230798,136369,0.6,11,2019-11-01 11:00:00,2019-11-01 11:00:00,207.96893151681584,532.2500496230798,45.74638914436448,14.191904345565696,2,0 days 06:00:00
11,1,191.02714587517517,459.3616150630729,186970,0.6,12,2019-11-01 12:00:00,2019-11-01 12:00:00,191.02714587517517,459.3616150630729,45.64485447014232,13.754792294231322,2,0 days 07:00:00
12,2,208.04485512816134,504.45589878925085,153922,0.6,13,2019-11-01 13:00:00,2019-11-01 13:00:00,208.04485512816134,504.45589878925085,45.74684416600782,14.025222781344832,3,0 days 00:00:00
