frame,idx,hdim_1,hdim_2,num,threshold_value,feature,time,timestr,y,x,latitude,longitude,cell,time_cell
0,1,229.61254528278383,443.8411037990682,160361,0.6,1,2019-11-01 01:00:00,2019-11-01 01:00:00,229.61254528278383,443.8411037990682,45.87610258303039,13.661715764911953,1,0 days 00:00:00
1,1,228.13762861028897,450.26993782502956,154216,0.6,2,2019-11-01 02:00:00,2019-11-01 02:00:00,228.13762861028897,450.26993782502956,45.867263185164404,13.700269492204077,1,0 days 01:00:00
2,1,230.90491603701943,449.0970628460461,153585,0.6,3,2019-11-01 03:00:00,2019-11-01 03:00:00,230.90491603701943,449.0970628460461,45.88384795570131,13.693235759196677,1,0 days 02:00:00
2,2,535.3588240974366,244.88947040221802,5402,0.6,4,2019-11-01 03:00:00,2019-11-01 03:00:00,535.3588240974366,244.88947040221802,47.70848610332368,12.468602521152732,2,0 days 00:00:00
3,1,241.0885680905203,433.81056492733177,172002,0.6,5,2019-11-01 04:00:00,2019-11-01 04:00:00,241.0885680905203,433.81056492733177,45.944880116980855,13.601562608259862,1,0 days 03:00:00
3,3,549.0532119479374,237.81512635592978,7902,0.6,6,2019-11-01 04:00:00,2019-11-01 04:00:00,549.0532119479374,237.81512635592978,47.79055863324963,12.42617766930093,2,0 days 01:00:00
4,1,239.1609593491775,443.0865968744013,158504,0.6,7,2019-11-01 05:00:00,2019-11-01 05:00:00,239.1609593491775,443.0865968744013,45.93332766733239,13.65719098575353,1,0 days 04:00:00
4,2,542.7367908811392,254.93093229135835,11228,0.6,8,2019-11-01 05:00:00,2019-11-01 05:00:00,542.7367908811392,254.93093229135835,47.75270337000683,12.52882118315657,2,0 days 02:00:00
5,1,246.31608215430907,431.04387041541236,166833,0.6,9,2019-11-01 06:00:00,2019-11-01 06:00:00,246.31608215430907,431.04387041541236,45.97620939647274,13.584970737123912,1,0 days 05:00:00
5,2,477.0443941039617,403.90306735957967,2656,0.6,10,2019-11-01 06:00:00,2019-11-01 06:00:00,477.0443941039617,403.90306735957967,47.358998937266904,13.422207300507225,3,0 days 00:00:00
5,3,547.3967271368366,247.2450171309769,13726,0.6,11,2019-11-01 06:00:00,2019-11-01 06:00:00,547.3967271368366,247.2450171309769,47.7806310701694,12.482728738416652,2,0 days 03:00:00
6,1,258.78941421562865,427.438339765458,165097,0.6,12,2019-11-01 07:00:00,2019-11-01 07:00:00,258.78941421562865,427.438339765458,46.050963955059416,13.563348364410544,1,0 days 06:00:00
