cell,feature,cell_parent_track_id,feature_parent_cell_id,feature_parent_track_id,track_child_cell_count,cell_child_feature_count,cell_starts_with_split,cell_ends_with_merge
10,11,10,10,10,2,1,False,True
12,13,10,12,10,2,25,True,False
12,38,10,12,10,2,25,True,False
12,59,10,12,10,2,25,True,False
12,72,10,12,10,2,25,True,False
12,84,10,12,10,2,25,True,False
12,97,10,12,10,2,25,True,False
12,107,10,12,10,2,25,True,False
12,116,10,12,10,2,25,True,False
12,130,10,12,10,2,25,True,False
12,142,10,12,10,2,25,True,False
12,158,10,12,10,2,25,True,False
12,167,10,12,10,2,25,True,False
12,179,10,12,10,2,25,True,False
12,193,10,12,10,2,25,True,False
12,205,10,12,10,2,25,True,False
12,223,10,12,10,2,25,True,False
12,241,10,12,10,2,25,True,False
12,255,10,12,10,2,25,True,False
12,264,10,12,10,2,25,True,False
12,277,10,12,10,2,25,True,False
12,287,10,12,10,2,25,True,False
12,303,10,12,10,2,25,True,False
12,310,10,12,10,2,25,True,False
12,318,10,12,10,2,25,True,False
12,328,10,12,10,2,25,True,False
