vector_id,pixel_x,pixel_y,latitude,longitude,magnitude,alpha_deg
0,230,2034,44.957733,11.343595,54.179718,-88.75
1,695,2050,44.933424,12.038940,52.834888,-89.29
2,1159,2069,44.904544,12.733587,47.989632,-90.28
3,1623,2092,44.871102,13.427417,50.168991,-91.25
4,2087,2117,44.833106,14.120313,50.635632,-90.10
5,2550,2146,44.790567,14.812158,48.218658,-89.36
6,251,1705,45.450165,11.375006,53.562263,-88.20
7,720,1721,45.425611,12.076860,52.453312,-89.59
8,1189,1740,45.396441,12.777996,49.944580,-91.36
9,1657,1763,45.362662,13.478293,50.843891,-90.82
10,2125,1789,45.324284,14.177628,50.285839,-89.51
11,2592,1817,45.281318,14.875883,49.688221,-88.87
12,272,1375,45.942910,11.407013,52.570198,-87.71
13,746,1392,45.918109,12.115498,53.879242,-91.36
14,1219,1411,45.888644,12.823245,49.451973,-90.03
15,1692,1434,45.854524,13.530129,50.763203,-89.70
16,2164,1460,45.815759,14.236024,52.355988,-90.84
17,2636,1489,45.772360,14.940807,50.598492,-88.76
18,294,1045,46.435935,11.439632,52.815037,-92.08
19,772,1062,46.410882,12.154875,52.579914,-90.35
20,1250,1082,46.381119,12.869359,49.755154,-90.56
21,1727,1105,46.346655,13.582954,52.018280,-92.38
22,2204,1131,46.307498,14.295531,51.203999,-91.33
23,316,715,46.929205,11.472881,52.174633,-91.79
24,799,732,46.903898,12.195012,51.486374,-92.94
25,1282,752,46.873833,12.916361,47.504925,-95.23
26,1763,776,46.839020,13.636795,48.682762,-92.31
27,2245,802,46.799467,14.356183,51.496044,-90.62
28,339,385,47.422685,11.506779,55.458923,-90.77
29,827,402,47.397121,12.235931,57.977173,-91.75
30,1314,423,47.366751,12.964278,53.739471,-92.50
31,1800,446,47.331584,13.691683,53.480648,-92.93
32,2286,473,47.291630,14.418012,49.104107,-93.79
33,362,55,47.916342,11.541345,54.648033,-90.57
34,854,72,47.890517,12.277655,56.451672,-91.34
35,1346,93,47.859838,13.013137,54.187466,-92.36
36,1838,117,47.824313,13.747649,54.235348,-91.47
37,2328,144,47.783953,14.481052,53.258614,-89.97
