vector_id,pixel_x,pixel_y,latitude,longitude,magnitude,alpha_deg
0,230,2034,44.957733,11.343595,18.290777,74.24
1,695,2050,44.933424,12.038940,19.252888,74.43
2,1159,2069,44.904544,12.733587,20.426872,76.50
3,1623,2092,44.871102,13.427417,24.943821,79.17
4,2087,2117,44.833106,14.120313,25.459246,80.35
5,2550,2146,44.790567,14.812158,25.778597,82.50
6,251,1705,45.450165,11.375006,18.599485,81.08
7,720,1721,45.425611,12.076860,17.331703,70.55
8,1189,1740,45.396441,12.777996,18.776567,78.12
9,1657,1763,45.362662,13.478293,23.013201,82.95
10,2125,1789,45.324284,14.177628,24.985060,85.26
11,2592,1817,45.281318,14.875883,25.602959,81.18
12,272,1375,45.942910,11.407013,18.817879,80.25
13,746,1392,45.918109,12.115498,17.196608,81.36
14,1219,1411,45.888644,12.823245,17.974613,84.37
15,1692,1434,45.854524,13.530129,20.558908,88.33
16,2164,1460,45.815759,14.236024,22.823616,82.69
17,2636,1489,45.772360,14.940807,23.715805,82.72
18,294,1045,46.435935,11.439632,15.231207,88.49
19,772,1062,46.410882,12.154875,14.140216,89.68
20,1250,1082,46.381119,12.869359,16.433981,91.40
21,1727,1105,46.346655,13.582954,15.868195,92.17
22,2204,1131,46.307498,14.295531,18.213829,92.02
23,316,715,46.929205,11.472881,11.779854,112.93
24,799,732,46.903898,12.195012,13.284688,104.68
25,1282,752,46.873833,12.916361,14.739666,102.89
26,1763,776,46.839020,13.636795,15.789543,101.79
27,2245,802,46.799467,14.356183,17.858448,96.45
28,339,385,47.422685,11.506779,16.669603,124.49
29,827,402,47.397121,12.235931,15.159097,105.65
30,1314,423,47.366751,12.964278,17.603085,105.72
31,1800,446,47.331584,13.691683,20.122850,101.08
32,2286,473,47.291630,14.418012,16.775953,93.56
33,362,55,47.916342,11.541345,20.980732,98.52
34,854,72,47.890517,12.277655,18.870667,99.66
35,1346,93,47.859838,13.013137,18.207388,99.18
36,1838,117,47.824313,13.747649,19.660784,98.15
37,2328,144,47.783953,14.481052,17.578409,98.13
