vector_id,pixel_x,pixel_y,latitude,longitude,magnitude,alpha_deg
0,22,569,44.767229,11.123243,19.416323,11.29
1,144,573,44.744385,11.816203,20.181400,7.48
2,265,578,44.716986,12.508507,20.954372,7.29
3,387,583,44.685040,13.200039,21.221153,0.48
4,509,590,44.648555,13.890682,17.424616,-1.62
5,630,597,44.607542,14.580319,17.351166,-5.50
6,27,482,45.259591,11.152480,20.306931,10.60
7,150,486,45.236517,11.851905,18.231453,6.37
8,273,491,45.208842,12.550657,20.176609,9.70
9,396,497,45.176574,13.248614,20.882132,3.90
10,518,503,45.139723,13.945657,18.129335,1.95
11,641,511,45.098298,14.641667,17.805065,-0.50
12,32,396,45.752281,11.182268,22.190752,8.90
13,156,400,45.728973,11.888281,21.347502,3.01
14,280,405,45.701019,12.593601,19.171503,9.30
15,404,410,45.668426,13.298104,20.957975,10.73
16,528,417,45.631204,14.001667,19.308304,8.63
17,652,424,45.589362,14.704167,18.894804,0.45
18,37,309,46.245263,11.212625,23.700459,16.30
19,163,313,46.221720,11.925350,23.336266,7.54
20,288,318,46.193484,12.637363,22.651608,8.81
21,413,324,46.160561,13.348535,22.628212,13.58
22,538,330,46.122963,14.058739,22.423954,9.85
23,663,338,46.080699,14.767850,20.854134,6.68
24,43,222,46.738506,11.243565,28.843193,16.93
25,170,226,46.714724,11.963132,25.659983,11.49
26,296,231,46.686201,12.681965,27.104364,9.36
27,422,237,46.652946,13.399932,25.881226,9.72
28,549,244,46.614967,14.116905,26.493023,11.42
29,675,251,46.572277,14.832752,24.433598,3.25
30,48,135,47.231974,11.275108,29.576754,13.93
31,176,139,47.207951,12.001647,28.594223,14.84
32,304,144,47.179138,12.727432,26.086073,11.82
33,432,150,47.145545,13.452326,27.051641,7.93
34,559,157,47.107182,14.176196,27.930752,7.13
35,686,165,47.064059,14.898907,27.013365,6.01
36,54,48,47.725632,11.307269,31.108664,14.00
37,183,53,47.701364,12.040918,29.532488,15.10
38,312,58,47.672259,12.773790,29.635914,11.91
39,441,64,47.638324,13.505744,29.541641,8.51
40,570,70,47.599571,14.236644,28.889740,5.02
41,698,78,47.556010,14.966352,28.631601,4.66
