vector_id,pixel_x,pixel_y,latitude,longitude,magnitude,alpha_deg
0,230,2034,44.957733,11.343595,24.367441,8.47
1,695,2050,44.933424,12.038940,25.191126,8.56
2,1159,2069,44.904544,12.733587,24.671665,6.65
3,1623,2092,44.871102,13.427417,23.798241,2.16
4,2087,2117,44.833106,14.120313,22.828981,1.17
5,2550,2146,44.790567,14.812158,22.127401,1.13
6,251,1705,45.450165,11.375006,27.914072,8.74
7,720,1721,45.425611,12.076860,27.942617,6.93
8,1189,1740,45.396441,12.777996,27.271175,7.16
9,1657,1763,45.362662,13.478293,26.982704,7.01
10,2125,1789,45.324284,14.177628,25.360355,4.80
11,2592,1817,45.281318,14.875883,24.112835,1.75
12,272,1375,45.942910,11.407013,30.601591,5.46
13,746,1392,45.918109,12.115498,30.575182,8.90
14,1219,1411,45.888644,12.823245,30.548052,10.93
15,1692,1434,45.854524,13.530129,29.458012,11.28
16,2164,1460,45.815759,14.236024,27.408321,9.71
17,2636,1489,45.772360,14.940807,26.469030,4.18
18,294,1045,46.435935,11.439632,32.496212,2.59
19,772,1062,46.410882,12.154875,31.957253,3.17
20,1250,1082,46.381119,12.869359,31.279064,6.14
21,1727,1105,46.346655,13.582954,28.784391,11.49
22,2204,1131,46.307498,14.295531,28.259794,9.02
23,316,715,46.929205,11.472881,32.289959,2.85
24,799,732,46.903898,12.195012,31.905592,5.48
25,1282,752,46.873833,12.916361,31.535858,6.49
26,1763,776,46.839020,13.636795,30.137465,6.37
27,2245,802,46.799467,14.356183,25.074089,9.36
28,339,385,47.422685,11.506779,25.253263,2.53
29,827,402,47.397121,12.235931,25.722389,8.14
30,1314,423,47.366751,12.964278,27.759176,12.10
31,1800,446,47.331584,13.691683,27.772789,7.31
32,2286,473,47.291630,14.418012,21.669748,10.70
33,362,55,47.916342,11.541345,25.356199,-0.42
34,854,72,47.890517,12.277655,24.950821,4.69
35,1346,93,47.859838,13.013137,25.530432,9.13
36,1838,117,47.824313,13.747649,25.376638,12.44
37,2328,144,47.783953,14.481052,24.235071,14.09
