vector_id,pixel_x,pixel_y,latitude,longitude,magnitude,alpha_deg
0,73,2326,44.521181,11.108828,29.529066,36.24
1,303,2333,44.510383,11.453787,29.207775,36.20
2,82,2161,44.767229,11.123243,28.970156,36.48
3,314,2169,44.756377,11.469798,28.994106,36.95
4,546,2177,44.744385,11.816203,28.590435,37.11
5,777,2185,44.731254,12.162444,28.150049,36.00
6,1009,2195,44.716986,12.508507,26.465784,34.43
7,1240,2205,44.701581,12.854377,25.770288,33.83
8,1471,2216,44.685040,13.200039,25.682974,33.33
9,1702,2228,44.667364,13.545479,24.662401,32.77
10,1933,2241,44.648555,13.890682,23.033054,32.16
11,2164,2254,44.628614,14.235633,21.534718,32.28
12,2395,2268,44.607542,14.580319,20.104872,31.78
13,2625,2283,44.585341,14.924725,20.058016,29.33
14,92,1997,45.013367,11.137794,28.802544,35.85
15,325,2004,45.002461,11.485958,28.714428,36.78
16,558,2012,44.990408,11.833971,28.652311,36.95
17,790,2021,44.977212,12.181818,28.348379,36.89
18,1023,2030,44.962872,12.529484,27.207775,35.76
19,1255,2041,44.947389,12.876954,25.281675,34.09
20,1488,2052,44.930765,13.224214,25.203064,33.73
21,1720,2064,44.913001,13.571248,24.729048,33.32
22,1952,2076,44.894098,13.918042,23.459381,33.13
23,2183,2090,44.874057,14.264581,22.173429,34.12
24,2415,2104,44.852880,14.610851,20.470552,32.90
25,2646,2119,44.830567,14.956837,19.489653,29.78
26,102,1832,45.259591,11.152480,28.280827,35.59
27,336,1839,45.248630,11.502269,28.454044,35.99
28,570,1847,45.236517,11.851905,28.092033,36.61
29,803,1856,45.223254,12.201373,28.030100,36.18
30,1037,1866,45.208842,12.550657,27.797916,35.78
31,1271,1876,45.193282,12.899742,25.463696,34.69
32,1504,1888,45.176574,13.248614,24.434025,34.27
33,1737,1899,45.158721,13.597258,24.730770,34.46
34,1970,1912,45.139723,13.945657,24.323359,35.12
35,2203,1926,45.119581,14.293799,22.716949,35.35
36,2436,1940,45.098298,14.641667,20.993540,33.60
37,2668,1955,45.075874,14.989247,19.762253,29.42
38,112,1667,45.505897,11.167304,27.113306,35.75
39,347,1675,45.494880,11.518734,27.471073,36.43
40,582,1683,45.482707,11.870008,27.383951,36.79
41,817,1692,45.469377,12.221111,26.907518,36.22
42,1051,1701,45.454893,12.572028,26.710682,35.37
43,1286,1712,45.439254,12.922744,26.500523,34.91
44,1520,1723,45.422463,13.273243,25.072269,34.49
45,1755,1735,45.404520,13.623511,24.990740,36.19
46,1989,1748,45.385426,13.973531,25.182388,36.79
47,2223,1761,45.365184,14.323289,23.171137,36.70
48,2456,1776,45.343794,14.672771,20.101599,33.98
49,122,1502,45.752281,11.182268,26.963923,35.21
50,358,1510,45.741208,11.535353,26.725267,36.59
51,594,1518,45.728973,11.888281,26.672523,37.15
52,830,1527,45.715577,12.241036,26.236675,36.42
53,1066,1537,45.701019,12.593601,26.005480,35.92
54,1301,1547,45.685302,12.945963,26.108988,36.23
55,1537,1559,45.668426,13.298104,25.926079,35.01
56,1772,1571,45.650393,13.650011,26.038778,36.66
57,2008,1583,45.631204,14.001667,25.042980,39.41
58,2243,1597,45.610859,14.353057,21.574396,39.83
59,2477,1611,45.589362,14.704167,20.985813,33.32
60,132,1338,45.998737,11.197374,25.481686,35.71
61,369,1345,45.987609,11.552131,26.394062,36.25
62,606,1353,45.975313,11.906728,25.515280,36.39
63,843,1362,45.961848,12.261149,26.079531,36.60
64,1080,1372,45.947218,12.615378,26.139154,36.50
65,1317,1383,45.931421,12.969401,26.004536,37.29
66,1554,1394,45.914461,13.323200,25.941410,36.74
67,1790,1406,45.896337,13.676761,26.035084,38.88
68,2027,1419,45.877051,14.030068,24.151791,40.99
69,2263,1433,45.856604,14.383106,22.596979,39.70
70,2499,1447,45.834999,14.735858,21.740753,35.56
71,142,1173,46.245263,11.212625,23.081543,35.24
72,381,1180,46.234079,11.569068,25.137268,37.96
73,619,1189,46.221720,11.925350,25.830807,37.42
74,857,1198,46.208188,12.281453,24.993532,38.64
75,1095,1207,46.193484,12.637363,24.966503,37.07
