vector_id,pixel_x,pixel_y,latitude,longitude,magnitude,alpha_deg
0,73,2326,44.521181,11.108828,33.471489,67.47
1,303,2333,44.510383,11.453787,30.999275,67.47
2,82,2161,44.767229,11.123243,33.523407,69.28
3,314,2169,44.756377,11.469798,31.263048,69.28
4,546,2177,44.744385,11.816203,31.967360,70.79
5,777,2185,44.731254,12.162444,31.542667,71.69
6,1009,2195,44.716986,12.508507,29.627001,69.81
7,1240,2205,44.701581,12.854377,28.799423,67.41
8,1471,2216,44.685040,13.200039,29.420000,64.89
9,1702,2228,44.667364,13.545479,29.426987,62.20
10,1933,2241,44.648555,13.890682,28.099766,60.08
11,2164,2254,44.628614,14.235633,26.513346,58.19
12,2395,2268,44.607542,14.580319,24.134937,54.25
13,2625,2283,44.585341,14.924725,20.925709,51.41
14,92,1997,45.013367,11.137794,33.691933,70.79
15,325,2004,45.002461,11.485958,30.642977,70.72
16,558,2012,44.990408,11.833971,31.260750,71.27
17,790,2021,44.977212,12.181818,31.384613,70.74
18,1023,2030,44.962872,12.529484,30.045784,68.48
19,1255,2041,44.947389,12.876954,30.015503,65.42
20,1488,2052,44.930765,13.224214,30.374905,63.36
21,1720,2064,44.913001,13.571248,29.838425,62.21
22,1952,2076,44.894098,13.918042,28.952944,60.62
23,2183,2090,44.874057,14.264581,26.914595,57.41
24,2415,2104,44.852880,14.610851,23.694048,54.23
25,2646,2119,44.830567,14.956837,21.884666,51.94
26,102,1832,45.259591,11.152480,32.799629,72.80
27,336,1839,45.248630,11.502269,30.073099,72.65
28,570,1847,45.236517,11.851905,31.096087,71.05
29,803,1856,45.223254,12.201373,31.397451,70.55
30,1037,1866,45.208842,12.550657,30.326160,68.26
31,1271,1876,45.193282,12.899742,31.215630,64.69
32,1504,1888,45.176574,13.248614,32.002327,64.06
33,1737,1899,45.158721,13.597258,30.852886,61.93
34,1970,1912,45.139723,13.945657,28.572083,59.99
35,2203,1926,45.119581,14.293799,26.380106,56.88
36,2436,1940,45.098298,14.641667,24.489910,54.37
37,2668,1955,45.075874,14.989247,21.589165,52.31
38,112,1667,45.505897,11.167304,32.222752,75.42
