% format yyyy, mm, dd, h, location, humidity_percentage
humidity_percentage_at_5.5km(2019,11,1,1,"Sappada",14).
humidity_percentage_at_5.5km(2019,11,1,1,"Villa_santina",14).
humidity_percentage_at_5.5km(2019,11,1,1,"Pontebba",14).
humidity_percentage_at_5.5km(2019,11,1,1,"Tarvisio",18).
humidity_percentage_at_5.5km(2019,11,1,1,"Forni",14).
humidity_percentage_at_5.5km(2019,11,1,1,"Stolvizza",14).
humidity_percentage_at_5.5km(2019,11,1,1,"Barcis",14).
humidity_percentage_at_5.5km(2019,11,1,1,"Gemona",14).
humidity_percentage_at_5.5km(2019,11,1,1,"Spilinbergo",14).
humidity_percentage_at_5.5km(2019,11,1,1,"Udine",14).
humidity_percentage_at_5.5km(2019,11,1,1,"Cividale",14).
humidity_percentage_at_5.5km(2019,11,1,1,"Pordenone",14).
humidity_percentage_at_5.5km(2019,11,1,1,"Codroipo",14).
humidity_percentage_at_5.5km(2019,11,1,1,"Rivignano",14).
humidity_percentage_at_5.5km(2019,11,1,1,"Palmanova",14).
humidity_percentage_at_5.5km(2019,11,1,1,"Gorizia",14).
humidity_percentage_at_5.5km(2019,11,1,1,"Lignano",14).
humidity_percentage_at_5.5km(2019,11,1,1,"Grado",14).
humidity_percentage_at_5.5km(2019,11,1,1,"Trieste",14).
humidity_percentage_at_5.5km(2019,11,1,2,"Sappada",14).
humidity_percentage_at_5.5km(2019,11,1,2,"Villa_santina",14).
humidity_percentage_at_5.5km(2019,11,1,2,"Pontebba",14).
humidity_percentage_at_5.5km(2019,11,1,2,"Tarvisio",18).
humidity_percentage_at_5.5km(2019,11,1,2,"Forni",14).
humidity_percentage_at_5.5km(2019,11,1,2,"Stolvizza",14).
humidity_percentage_at_5.5km(2019,11,1,2,"Barcis",14).
humidity_percentage_at_5.5km(2019,11,1,2,"Gemona",14).
humidity_percentage_at_5.5km(2019,11,1,2,"Spilinbergo",14).
humidity_percentage_at_5.5km(2019,11,1,2,"Udine",14).
humidity_percentage_at_5.5km(2019,11,1,2,"Cividale",14).
humidity_percentage_at_5.5km(2019,11,1,2,"Pordenone",14).
humidity_percentage_at_5.5km(2019,11,1,2,"Codroipo",14).
humidity_percentage_at_5.5km(2019,11,1,2,"Rivignano",14).
humidity_percentage_at_5.5km(2019,11,1,2,"Palmanova",14).
humidity_percentage_at_5.5km(2019,11,1,2,"Gorizia",14).
humidity_percentage_at_5.5km(2019,11,1,2,"Lignano",14).
humidity_percentage_at_5.5km(2019,11,1,2,"Grado",14).
humidity_percentage_at_5.5km(2019,11,1,2,"Trieste",14).
humidity_percentage_at_5.5km(2019,11,1,3,"Sappada",14).
humidity_percentage_at_5.5km(2019,11,1,3,"Villa_santina",14).
humidity_percentage_at_5.5km(2019,11,1,3,"Pontebba",14).
humidity_percentage_at_5.5km(2019,11,1,3,"Tarvisio",14).
humidity_percentage_at_5.5km(2019,11,1,3,"Forni",13).
humidity_percentage_at_5.5km(2019,11,1,3,"Stolvizza",14).
humidity_percentage_at_5.5km(2019,11,1,3,"Barcis",12).
humidity_percentage_at_5.5km(2019,11,1,3,"Gemona",14).
humidity_percentage_at_5.5km(2019,11,1,3,"Spilinbergo",14).
humidity_percentage_at_5.5km(2019,11,1,3,"Udine",14).
humidity_percentage_at_5.5km(2019,11,1,3,"Cividale",14).
humidity_percentage_at_5.5km(2019,11,1,3,"Pordenone",14).
humidity_percentage_at_5.5km(2019,11,1,3,"Codroipo",28).
humidity_percentage_at_5.5km(2019,11,1,3,"Rivignano",18).
humidity_percentage_at_5.5km(2019,11,1,3,"Palmanova",14).
humidity_percentage_at_5.5km(2019,11,1,3,"Gorizia",14).
humidity_percentage_at_5.5km(2019,11,1,3,"Lignano",14).
humidity_percentage_at_5.5km(2019,11,1,3,"Grado",14).
humidity_percentage_at_5.5km(2019,11,1,3,"Trieste",2).
humidity_percentage_at_5.5km(2019,11,1,4,"Sappada",9).
humidity_percentage_at_5.5km(2019,11,1,4,"Villa_santina",12).
humidity_percentage_at_5.5km(2019,11,1,4,"Pontebba",14).
humidity_percentage_at_5.5km(2019,11,1,4,"Tarvisio",14).
humidity_percentage_at_5.5km(2019,11,1,4,"Forni",8).
humidity_percentage_at_5.5km(2019,11,1,4,"Stolvizza",14).
humidity_percentage_at_5.5km(2019,11,1,4,"Barcis",9).
