% format: hum_front_[alt]_hPa(city1,city2,yyyy,mm,dd,h).

hum_front_500_hPa(sappada_forni_villa,udine_palamnova,2019,11,1,10).
hum_front_500_hPa(lignano_grado,trieste,2019,11,1,10).
hum_front_500_hPa(barcis,sappada_forni_villa,2019,11,1,10).
hum_front_500_hPa(gorizia,udine_palamnova,2019,11,1,10).
hum_front_500_hPa(gemona_stolvizza,udine_palamnova,2019,11,1,10).
hum_front_500_hPa(pordenone,sappada_forni_villa,2019,11,1,10).
hum_front_500_hPa(lignano_grado,pordenone,2019,11,1,11).
hum_front_500_hPa(barcis,sappada_forni_villa,2019,11,1,11).
hum_front_500_hPa(pordenone,udine_palamnova,2019,11,1,11).
hum_front_500_hPa(sappada_forni_villa,udine_palamnova,2019,11,1,12).
hum_front_500_hPa(pontebba_tarvisio,sappada_forni_villa,2019,11,1,12).
hum_front_500_hPa(lignano_grado,pordenone,2019,11,1,12).
hum_front_500_hPa(gemona_stolvizza,sappada_forni_villa,2019,11,1,12).
hum_front_500_hPa(pordenone,udine_palamnova,2019,11,1,12).
hum_front_500_hPa(lignano_grado,trieste,2019,11,1,13).
hum_front_500_hPa(gorizia,udine_palamnova,2019,11,1,13).
hum_front_500_hPa(gemona_stolvizza,gorizia,2019,11,1,13).
hum_front_500_hPa(lignano_grado,trieste,2019,11,1,14).
hum_front_500_hPa(gorizia,trieste,2019,11,1,14).
hum_front_500_hPa(sappada_forni_villa,udine_palamnova,2019,11,1,16).
hum_front_500_hPa(pontebba_tarvisio,sappada_forni_villa,2019,11,1,16).
hum_front_500_hPa(lignano_grado,trieste,2019,11,1,16).
hum_front_500_hPa(gorizia,trieste,2019,11,1,16).
hum_front_500_hPa(gemona_stolvizza,udine_palamnova,2019,11,1,16).
hum_front_500_hPa(pordenone,udine_palamnova,2019,11,1,16).
hum_front_500_hPa(sappada_forni_villa,udine_palamnova,2019,11,1,18).
hum_front_500_hPa(pontebba_tarvisio,sappada_forni_villa,2019,11,1,18).
hum_front_500_hPa(lignano_grado,pordenone,2019,11,1,18).
hum_front_500_hPa(gemona_stolvizza,sappada_forni_villa,2019,11,1,18).
hum_front_500_hPa(pordenone,udine_palamnova,2019,11,1,18).
hum_front_500_hPa(lignano_grado,trieste,2019,11,1,19).
hum_front_500_hPa(gorizia,trieste,2019,11,1,19).
hum_front_500_hPa(sappada_forni_villa,udine_palamnova,2019,11,1,22).
hum_front_500_hPa(barcis,pordenone,2019,11,1,22).
hum_front_500_hPa(gorizia,pontebba_tarvisio,2019,11,1,22).
hum_front_500_hPa(gemona_stolvizza,udine_palamnova,2019,11,1,22).
hum_front_500_hPa(pordenone,sappada_forni_villa,2019,11,1,22).
hum_front_500_hPa(lignano_grado,udine_palamnova,2019,11,1,23).
hum_front_500_hPa(barcis,sappada_forni_villa,2019,11,1,23).
hum_front_500_hPa(gorizia,udine_palamnova,2019,11,1,23).
hum_front_500_hPa(gemona_stolvizza,gorizia,2019,11,1,23).
hum_front_500_hPa(pordenone,udine_palamnova,2019,11,1,23).
hum_front_500_hPa(sappada_forni_villa,udine_palamnova,2019,11,2,0).
hum_front_500_hPa(lignano_grado,pordenone,2019,11,2,0).
hum_front_500_hPa(gorizia,pontebba_tarvisio,2019,11,2,0).
hum_front_500_hPa(gemona_stolvizza,pontebba_tarvisio,2019,11,2,0).
hum_front_500_hPa(pordenone,udine_palamnova,2019,11,2,0).
hum_front_500_hPa(lignano_grado,trieste,2019,11,2,1).
hum_front_500_hPa(gorizia,udine_palamnova,2019,11,2,1).
hum_front_500_hPa(gemona_stolvizza,gorizia,2019,11,2,1).
