% format yyyy, mm, dd, h, location, humidity_percentage
humidity_percentage_at_9km(2019,11,1,1,"Sappada",58).
humidity_percentage_at_9km(2019,11,1,1,"Villa_santina",58).
humidity_percentage_at_9km(2019,11,1,1,"Pontebba",58).
humidity_percentage_at_9km(2019,11,1,1,"Tarvisio",58).
humidity_percentage_at_9km(2019,11,1,1,"Forni",58).
humidity_percentage_at_9km(2019,11,1,1,"Stolvizza",58).
humidity_percentage_at_9km(2019,11,1,1,"Barcis",58).
humidity_percentage_at_9km(2019,11,1,1,"Gemona",58).
humidity_percentage_at_9km(2019,11,1,1,"Spilinbergo",58).
humidity_percentage_at_9km(2019,11,1,1,"Udine",58).
humidity_percentage_at_9km(2019,11,1,1,"Cividale",58).
humidity_percentage_at_9km(2019,11,1,1,"Pordenone",58).
humidity_percentage_at_9km(2019,11,1,1,"Codroipo",58).
humidity_percentage_at_9km(2019,11,1,1,"Rivignano",58).
humidity_percentage_at_9km(2019,11,1,1,"Palmanova",58).
humidity_percentage_at_9km(2019,11,1,1,"Gorizia",58).
humidity_percentage_at_9km(2019,11,1,1,"Lignano",47).
humidity_percentage_at_9km(2019,11,1,1,"Grado",56).
humidity_percentage_at_9km(2019,11,1,1,"Trieste",58).
humidity_percentage_at_9km(2019,11,1,2,"Sappada",58).
humidity_percentage_at_9km(2019,11,1,2,"Villa_santina",58).
humidity_percentage_at_9km(2019,11,1,2,"Pontebba",58).
humidity_percentage_at_9km(2019,11,1,2,"Tarvisio",58).
humidity_percentage_at_9km(2019,11,1,2,"Forni",58).
humidity_percentage_at_9km(2019,11,1,2,"Stolvizza",58).
humidity_percentage_at_9km(2019,11,1,2,"Barcis",58).
humidity_percentage_at_9km(2019,11,1,2,"Gemona",58).
humidity_percentage_at_9km(2019,11,1,2,"Spilinbergo",58).
humidity_percentage_at_9km(2019,11,1,2,"Udine",58).
humidity_percentage_at_9km(2019,11,1,2,"Cividale",58).
humidity_percentage_at_9km(2019,11,1,2,"Pordenone",58).
humidity_percentage_at_9km(2019,11,1,2,"Codroipo",58).
humidity_percentage_at_9km(2019,11,1,2,"Rivignano",58).
humidity_percentage_at_9km(2019,11,1,2,"Palmanova",58).
humidity_percentage_at_9km(2019,11,1,2,"Gorizia",58).
humidity_percentage_at_9km(2019,11,1,2,"Lignano",58).
humidity_percentage_at_9km(2019,11,1,2,"Grado",58).
humidity_percentage_at_9km(2019,11,1,2,"Trieste",58).
humidity_percentage_at_9km(2019,11,1,3,"Sappada",58).
humidity_percentage_at_9km(2019,11,1,3,"Villa_santina",58).
humidity_percentage_at_9km(2019,11,1,3,"Pontebba",58).
humidity_percentage_at_9km(2019,11,1,3,"Tarvisio",58).
humidity_percentage_at_9km(2019,11,1,3,"Forni",58).
humidity_percentage_at_9km(2019,11,1,3,"Stolvizza",58).
humidity_percentage_at_9km(2019,11,1,3,"Barcis",58).
humidity_percentage_at_9km(2019,11,1,3,"Gemona",58).
humidity_percentage_at_9km(2019,11,1,3,"Spilinbergo",58).
humidity_percentage_at_9km(2019,11,1,3,"Udine",58).
humidity_percentage_at_9km(2019,11,1,3,"Cividale",58).
humidity_percentage_at_9km(2019,11,1,3,"Pordenone",58).
humidity_percentage_at_9km(2019,11,1,3,"Codroipo",58).
humidity_percentage_at_9km(2019,11,1,3,"Rivignano",58).
humidity_percentage_at_9km(2019,11,1,3,"Palmanova",58).
humidity_percentage_at_9km(2019,11,1,3,"Gorizia",58).
humidity_percentage_at_9km(2019,11,1,3,"Lignano",58).
humidity_percentage_at_9km(2019,11,1,3,"Grado",58).
humidity_percentage_at_9km(2019,11,1,3,"Trieste",58).
humidity_percentage_at_9km(2019,11,1,4,"Sappada",56).
humidity_percentage_at_9km(2019,11,1,4,"Villa_santina",56).
humidity_percentage_at_9km(2019,11,1,4,"Pontebba",58).
humidity_percentage_at_9km(2019,11,1,4,"Tarvisio",58).
humidity_percentage_at_9km(2019,11,1,4,"Forni",56).
humidity_percentage_at_9km(2019,11,1,4,"Stolvizza",58).
humidity_percentage_at_9km(2019,11,1,4,"Barcis",58).
humidity_percentage_at_9km(2019,11,1,4,"Gemona",58).
humidity_percentage_at_9km(2019,11,1,4,"Spilinbergo",58).
humidity_percentage_at_9km(2019,11,1,4,"Udine",58).
humidity_percentage_at_9km(2019,11,1,4,"Cividale",58).
humidity_percentage_at_9km(2019,11,1,4,"Pordenone",58).
humidity_percentage_at_9km(2019,11,1,4,"Codroipo",58).
humidity_percentage_at_9km(2019,11,1,4,"Rivignano",58).
humidity_percentage_at_9km(2019,11,1,4,"Palmanova",58).
humidity_percentage_at_9km(2019,11,1,4,"Gorizia",58).
humidity_percentage_at_9km(2019,11,1,4,"Lignano",58).
humidity_percentage_at_9km(2019,11,1,4,"Grado",58).
humidity_percentage_at_9km(2019,11,1,4,"Trieste",58).
humidity_percentage_at_9km(2019,11,1,5,"Sappada",95).
humidity_percentage_at_9km(2019,11,1,5,"Villa_santina",95).
humidity_percentage_at_9km(2019,11,1,5,"Pontebba",75).
humidity_percentage_at_9km(2019,11,1,5,"Tarvisio",58).
humidity_percentage_at_9km(2019,11,1,5,"Forni",95).
humidity_percentage_at_9km(2019,11,1,5,"Stolvizza",95).
humidity_percentage_at_9km(2019,11,1,5,"Barcis",95).
humidity_percentage_at_9km(2019,11,1,5,"Gemona",95).
humidity_percentage_at_9km(2019,11,1,5,"Spilinbergo",95).
humidity_percentage_at_9km(2019,11,1,5,"Udine",75).
humidity_percentage_at_9km(2019,11,1,5,"Cividale",58).
humidity_percentage_at_9km(2019,11,1,5,"Pordenone",95).
humidity_percentage_at_9km(2019,11,1,5,"Codroipo",75).
humidity_percentage_at_9km(2019,11,1,5,"Rivignano",58).
humidity_percentage_at_9km(2019,11,1,5,"Palmanova",58).
humidity_percentage_at_9km(2019,11,1,5,"Gorizia",58).
humidity_percentage_at_9km(2019,11,1,5,"Lignano",58).
humidity_percentage_at_9km(2019,11,1,5,"Grado",56).
humidity_percentage_at_9km(2019,11,1,5,"Trieste",56).
humidity_percentage_at_9km(2019,11,1,6,"Sappada",95).
humidity_percentage_at_9km(2019,11,1,6,"Villa_santina",95).
humidity_percentage_at_9km(2019,11,1,6,"Pontebba",95).
humidity_percentage_at_9km(2019,11,1,6,"Tarvisio",2).
humidity_percentage_at_9km(2019,11,1,6,"Forni",95).
humidity_percentage_at_9km(2019,11,1,6,"Stolvizza",2).
humidity_percentage_at_9km(2019,11,1,6,"Barcis",95).
humidity_percentage_at_9km(2019,11,1,6,"Gemona",95).
humidity_percentage_at_9km(2019,11,1,6,"Spilinbergo",75).
humidity_percentage_at_9km(2019,11,1,6,"Udine",58).
humidity_percentage_at_9km(2019,11,1,6,"Cividale",58).
humidity_percentage_at_9km(2019,11,1,6,"Pordenone",95).
humidity_percentage_at_9km(2019,11,1,6,"Codroipo",58).
humidity_percentage_at_9km(2019,11,1,6,"Rivignano",58).
humidity_percentage_at_9km(2019,11,1,6,"Palmanova",58).
humidity_percentage_at_9km(2019,11,1,6,"Gorizia",58).
humidity_percentage_at_9km(2019,11,1,6,"Lignano",75).
humidity_percentage_at_9km(2019,11,1,6,"Grado",58).
humidity_percentage_at_9km(2019,11,1,6,"Trieste",58).
humidity_percentage_at_9km(2019,11,1,7,"Sappada",95).
humidity_percentage_at_9km(2019,11,1,7,"Villa_santina",95).
humidity_percentage_at_9km(2019,11,1,7,"Pontebba",2).
humidity_percentage_at_9km(2019,11,1,7,"Tarvisio",2).
humidity_percentage_at_9km(2019,11,1,7,"Forni",95).
humidity_percentage_at_9km(2019,11,1,7,"Stolvizza",2).
humidity_percentage_at_9km(2019,11,1,7,"Barcis",95).
humidity_percentage_at_9km(2019,11,1,7,"Gemona",95).
humidity_percentage_at_9km(2019,11,1,7,"Spilinbergo",95).
humidity_percentage_at_9km(2019,11,1,7,"Udine",95).
humidity_percentage_at_9km(2019,11,1,7,"Cividale",95).
humidity_percentage_at_9km(2019,11,1,7,"Pordenone",95).
humidity_percentage_at_9km(2019,11,1,7,"Codroipo",95).
humidity_percentage_at_9km(2019,11,1,7,"Rivignano",95).
humidity_percentage_at_9km(2019,11,1,7,"Palmanova",95).
humidity_percentage_at_9km(2019,11,1,7,"Gorizia",95).
humidity_percentage_at_9km(2019,11,1,7,"Lignano",2).
humidity_percentage_at_9km(2019,11,1,7,"Grado",2).
humidity_percentage_at_9km(2019,11,1,7,"Trieste",95).
humidity_percentage_at_9km(2019,11,1,8,"Sappada",95).
humidity_percentage_at_9km(2019,11,1,8,"Villa_santina",95).
humidity_percentage_at_9km(2019,11,1,8,"Pontebba",95).
humidity_percentage_at_9km(2019,11,1,8,"Tarvisio",95).
humidity_percentage_at_9km(2019,11,1,8,"Forni",75).
humidity_percentage_at_9km(2019,11,1,8,"Stolvizza",95).
humidity_percentage_at_9km(2019,11,1,8,"Barcis",95).
humidity_percentage_at_9km(2019,11,1,8,"Gemona",95).
humidity_percentage_at_9km(2019,11,1,8,"Spilinbergo",75).
humidity_percentage_at_9km(2019,11,1,8,"Udine",58).
humidity_percentage_at_9km(2019,11,1,8,"Cividale",75).
humidity_percentage_at_9km(2019,11,1,8,"Pordenone",75).
humidity_percentage_at_9km(2019,11,1,8,"Codroipo",58).
humidity_percentage_at_9km(2019,11,1,8,"Rivignano",93).
humidity_percentage_at_9km(2019,11,1,8,"Palmanova",58).
humidity_percentage_at_9km(2019,11,1,8,"Gorizia",95).
humidity_percentage_at_9km(2019,11,1,8,"Lignano",56).
humidity_percentage_at_9km(2019,11,1,8,"Grado",58).
humidity_percentage_at_9km(2019,11,1,8,"Trieste",75).
humidity_percentage_at_9km(2019,11,1,9,"Sappada",95).
humidity_percentage_at_9km(2019,11,1,9,"Villa_santina",95).
humidity_percentage_at_9km(2019,11,1,9,"Pontebba",95).
humidity_percentage_at_9km(2019,11,1,9,"Tarvisio",95).
humidity_percentage_at_9km(2019,11,1,9,"Forni",95).
humidity_percentage_at_9km(2019,11,1,9,"Stolvizza",95).
humidity_percentage_at_9km(2019,11,1,9,"Barcis",95).
humidity_percentage_at_9km(2019,11,1,9,"Gemona",95).
humidity_percentage_at_9km(2019,11,1,9,"Spilinbergo",95).
humidity_percentage_at_9km(2019,11,1,9,"Udine",75).
humidity_percentage_at_9km(2019,11,1,9,"Cividale",95).
