Location,Lat,Long,pictogram_px_x,pictogram_px_y
Sappada,46.563717,12.667259,65,6
Villa_santina,46.4138149,12.9161294,93,51
Pontebba,46.5031464,13.2986071,173,20
Tarvisio,46.5057513,13.5628785,243,22
Forni,46.4208621,12.560566,34,55
Stolvizza,46.3621529,13.3510267,198,78
Barcis,46.1906756,12.5544384,31,117
Gemona,46.2749302,13.0963608,145,94
Spilinbergo,46.1201473,12.8484719,89,134
Udine,46.0627018,13.2181238,159,155
Cividale,46.0912087,13.423233,221,138
Pordenone,45.9560557,12.6453929,41,190
Codroipo,45.9649378,12.9655161,106,187
Rivignano,45.8750398,13.0346511,121,228
Palmanova,45.9050166,13.3073832,173,214
Gorizia,45.9469495,13.5973763,230,198
Lignano,45.673596,13.0928735,147,289
Grado,45.6826927,13.3848035,207,269
Trieste,45.6514457,13.7608539,276,283
